category,template
show,"speel {show}"
show,"zet {show} op"
show,"ik wil {show} kijken"
show,"zoek {show} voor me"
show,"speel een aflevering van {show}"
show,"stream {show}"
show,"ik wil een aflevering van {show} kijken"
show,"speel seizoen 1 van {show}"
show,"ga door met kijken naar {show}"
show,"kun je {show} afspelen"
show,"laat me {show} zien"
show,"ik wil graag {show} kijken"
show,"kijk {show}"
show,"ik wil {show} zien"
show,"speel de volgende aflevering van {show}"
show,"zet {show} in de wachtrij"
show,"zet {show} op"
show,"hervat {show}"
show,"wat komt volgende in {show}"
episode,"speel de volgende aflevering van {show}"
episode,"ga door met {{show}} waar ik gestopt ben"
episode,"speel een nieuwe aflevering van {show}"
episode,"zet een {{show}} aflevering op"
episode,"zoek de nieuwste {{show}} aflevering"
episode,"zet de volgende {{show}} in de wachtrij"
episode,"ik wil de volgende {{show}} kijken"
episode,"stream nieuw {{show}}"
episode,"speel de meest recente {{show}} aflevering"
episode,"wat is de nieuwste {{show}} aflevering"
season,"speel seizoen {season} van {show}"
season,"ik wil seizoen {{season}} van {show} kijken"
season,"stream seizoen {{season}} van {show}"
season,"begin bij seizoen {{season}} van {show}"
season,"zet seizoen {{season}} van {show} op"
season,"laat me seizoen {{season}} van {show} zien"
season,"zoek seizoen {{season}} van {show}"
genre,"speel een {genre} serie"
genre,"ik wil een {{genre}} serie kijken"
genre,"zoek me een {{genre}} tv-serie"
genre,"zet iets {{genre}} op"
genre,"laat me een {{genre}} serie zien"
genre,"ik ben in de stemming voor {{genre}}"
genre,"stream een {{genre}} serie"
genre,"zet een {{genre}} serie in de wachtrij"
provider,"zoek een serie op {provider}"
provider,"stream een serie op {provider}"
provider,"laat me zien wat er op {provider} is"
provider,"speel iets van {provider}"
provider,"zoek series op {provider}"
network,"laat me {{network}} series zien"
network,"ik wil iets van {{network}} kijken"
network,"zoek me een {{network}} productie"
network,"speel een {{network}} serie"
era,"speel een klassieke tv-serie"
era,"ik wil iets recents kijken"
era,"zoek me een nieuwe serie"
era,"laat me een retro serie zien"
era,"ik wil iets uit de jaren 90"
era,"speel een nieuw uitgebrachte serie"
era,"zoek me een lopende serie"
status,"ga door met mijn watchlist"
status,"hervat waar ik gestopt ben"
status,"laat me zien wat ik aan het kijken ben"
status,"welke serie volg ik"
status,"zoek nieuwe releases"
status,"laat me komende afleveringen zien"
discovery,"beveel een tv-serie aan"
discovery,"stel iets voor om te kijken"
discovery,"zoek series zoals {show}"
discovery,"wat is vergelijkbaar met {{show}}"
discovery,"beveel series aan zoals {show}"
discovery,"laat me trending series zien"
discovery,"wat moet ik volgende bingen"
discovery,"verrас me met een serie"
discovery,"wat is populair nu"
discovery,"zoek verborgen parels op tv"
length,"ik wil iets korting om te kijken"
length,"speel een snelle serie"
length,"zoek een lange serie om te bingen"
length,"ik heb een miniserie nodig"
length,"laat me single-season series zien"
generic,"speel een tv-serie"
generic,"kijk een serie"
generic,"ik wil een serie kijken"
generic,"zoek me iets om te kijken"
generic,"zet iets op"
generic,"zet een serie in de wachtrij"
generic,"ik verveel me, speel een tv-serie"
generic,"zoek me een serie"
generic,"laat me een serie zien"
generic,"ik wil zien wat er op is"
generic,"stream iets"
generic,"wat moet ik kijken"
generic,"speel iets goeds"
generic,"ik wil iets bingen"
