category,template
title,"puść {title}"
title,"obejrzyj {title}"
title,"chcę obejrzeć {title}"
title,"włóż {title}"
title,"puść odcinek {title}"
title,"streamuj {title}"
title,"znajdź mi {title}"
title,"chciałbym obejrzeć {{title}}"
title,"puść anime {{title}}"
title,"pokaż mi {{title}}"
title,"postaw {{title}}"
title,"wznów {{title}}"
title,"wznów {{title}}"
season,"puść sezon 1 {title}"
season,"chcę obejrzeć sezon {{season}} {{title}}"
season,"streamuj sezon {{season}} {{title}}"
season,"włóż sezon {{season}}"
season,"znajdź sezon {{season}}"
episode,"puść następny odcinek {title}"
episode,"wznów {{title}} od miejsca gdzie skończyłem"
episode,"włóż nowy odcinek {{title}}"
episode,"znajdź najnowszy odcinek {{title}}"
episode,"postaw następny {{title}}"
episode,"jaki jest najnowszy odcinek {{title}}"
genre,"puść anime {{genre}}"
genre,"chcę obejrzeć {{genre}}"
genre,"znajdź mi anime {{genre}}"
genre,"włóż {{genre}}"
genre,"jestem w nastroju na {{genre}}"
genre,"streamuj anime {{genre}}"
genre,"postaw {{genre}} seriale"
genre,"pokaż mi {{genre}} serie"
genre,"znajdź {{genre}} treści"
mood,"chcę czegoś pełnego akcji"
mood,"puść coś śmiesznego"
mood,"znajdź mi coś romantycznego"
mood,"chcę czegoś mrocznego"
mood,"puść coś serdecznego"
mood,"znajdź mi coś skłaniającego do myślenia"
mood,"chcę epicką przygodę"
mood,"puść coś uroczego"
mood,"znajdź mi coś tajemniczego"
mood,"chcę czegoś emocjonalnego"
era,"puść klasyczne anime"
era,"chcę coś niedawnego"
era,"znajdź mi nowe anime"
era,"pokaż mi niedawne wydania"
era,"chcę coś z lat 2000"
era,"puść retro anime"
era,"znajdź ukryte klejnoty anime"
studio,"znajdź anime {{studio}}"
studio,"chcę produkcje {{studio}}"
studio,"pokaż mi anime {{studio}}"
studio,"puść coś {{studio}}"
type,"chcę serial TV"
type,"znajdź film"
type,"chcę krótki serial"
type,"puść OVA"
type,"znajdź one-shot"
status,"wznów moją listę do obejrzenia"
status,"wznów od miejsca gdzie skończyłem"
status,"pokaż mi co oglądam"
status,"jaki anime Follow"
status,"znajdź nowe wydania"
status,"pokaż mi seriale w trakcie emisji"
status,"znajdź zakończone seriale"
discovery,"polecaj anime"
discovery,"zasugeruj coś do obejrzenia"
discovery,"znajdź anime podobne do {{title}}"
discovery,"co jest podobne do {{title}}"
discovery,"polecaj seriale podobne do {{title}}"
discovery,"pokaż mi trendy anime"
discovery,"co powinnam obejrzeć dalej"
discovery,"zaskocz mnie anime"
discovery,"co jest popularne teraz"
discovery,"znajdź ukryte klejnoty"
provider,"znajdź anime na {{provider}}"
provider,"streamuj z {{provider}}"
provider,"pokaż mi co jest na {{provider}}"
provider,"puść coś z {{provider}}"
rating,"pokaż mi wysoko oceniane anime"
rating,"chcę nagrodzone seriale"
rating,"znajdź wysoko oceniane anime"
rating,"puść serial z dobrymi recenzjami"
length,"chcę krótkie anime"
length,"znajdź długi serial"
length,"potrzebuję szybkiego seansu"
length,"znajdź serial z 13 odcinkami"
length,"puść coś z wieloma sezonami"
generic,"puść anime"
generic,"chcę obejrzeć anime"
generic,"znajdź mi dobre anime"
generic,"chcę obejrzeć anime"
generic,"włóż anime"
generic,"streamuj anime"
generic,"pokaż mi anime"
generic,"postaw anime"
generic,"jakie anime powinnam obejrzeć"
generic,"puść coś"
generic,"się nudzę, puść anime"
