category,template
title,"puść {title}"
title,"czytaj mi {title}"
title,"chcę słuchać {title}"
title,"puść audiobook {title}"
title,"znajdź audiobook {title}"
title,"chcę usłyszeć {title}"
title,"postaw {title}"
title,"włóż {title}"
title,"streamuj {title}"
title,"chciałbym słuchać {{title}}"
title_author,"puść {title} od {author}"
title_author,"czytaj mi {{title}}"
title_author,"chcę słuchać {{title}} od {author}"
title_author,"znajdź mi {{title}} od {{author}}"
title_author,"włóż {{title}} od {{author}}"
title_author,"streamuj {{title}} od {{author}}"
author,"znajdź audiobook {{author}}"
author,"puść książkę {{author}}"
author,"chciałbym słuchać {author}"
author,"czytaj mi coś {{author}}"
author,"puść audiobook {{author}}"
author,"znajdź audiobook {{author}}"
author,"postaw audiobook {{author}}"
author,"chcę dzieła {{author}}"
author,"streamuj {{author}}"
author,"włóż coś {{author}}"
author,"pokaż mi audiobooki {{author}}"
genre,"puść audiobook {{genre}}"
genre,"chcę słuchać książki {{genre}}"
genre,"znajdź audiobook {{genre}}"
genre,"włóż {{genre}}"
genre,"streamuj audiobook {{genre}}"
genre,"postaw {{genre}} książkę"
genre,"jestem w nastroju na {{genre}}"
genre,"pokaż mi {{genre}} historie"
narrator,"puść coś czytane przez {narrator}"
narrator,"chcę słuchać czytania {{narrator}}"
narrator,"znajdź audiobook {{narrator}}"
narrator,"postaw audiobook {{narrator}}"
narrator,"włóż książkę {{narrator}}"
mood,"chcę coś uspokajającego"
mood,"puść coś ekscytującego"
mood,"znajdź mi coś śmiesznego"
mood,"chcę czegoś smutnego"
mood,"puść coś inspirującego"
mood,"znajdź mi przygodę"
mood,"chcę tajemnicy"
mood,"puść coś romantycznego"
mood,"znajdź mi coś mrocznego"
series,"wznów serię {{title}}"
series,"puść następną książkę {{title}}"
series,"chcę słuchać serii {{title}}"
series,"znajdź serię {{title}}"
series,"postaw następną książkę {{title}}"
duration,"chcę krótki audiobook"
duration,"puść coś szybko"
duration,"znajdź długi audiobook na dziś"
duration,"potrzebuję audiobooka na podróż"
duration,"puść wielogodzinowy audiobook"
discovery,"polecaj audiobook"
discovery,"zasugeruj coś do słuchania"
discovery,"znajdź książki podobne do {{title}}"
discovery,"co powinnam słuchać dalej"
discovery,"polecaj autorów podobnych do {{author}}"
discovery,"pokaż mi nowe wydania"
discovery,"zaskocz mnie audiobokiem"
discovery,"co jest trendy w audiobookach"
format,"puść pełny audiobook"
format,"chcę wersję skróconą"
format,"znajdź dramatyzowany audiobook"
provider,"znajdź audiobook na {{provider}}"
provider,"streamuj z {{provider}}"
provider,"pokaż mi co jest na {{provider}}"
status,"wznów od miejsca gdzie skończyłem"
status,"wznów mój audiobook"
status,"pokaż mi moją listę słuchania"
status,"co słucham teraz"
generic,"puść audiobook"
generic,"czytaj mi książkę"
generic,"chcę słuchać książki"
generic,"znajdź mi coś do słuchania"
generic,"puść coś"
generic,"chcę usłyszeć historię"
generic,"postaw audiobook"
generic,"się nudzę, puść audiobook"
generic,"znajdź mi audiobook"
generic,"pokaż mi książkę"
generic,"chcę słuchać czegoś"
generic,"streamuj audiobook"
