category,template
title,"puść {title}"
title,"chcę grać w {title}"
title,"uruchom {title}"
title,"zacznij {title}"
title,"otwórz {title}"
title,"chciałbym grać w {title}"
title,"znajdź {title}"
title,"załaduj {title}"
title,"uruchom {{title}}"
title,"czy możesz grać {{title}}"
title,"postaw {{title}}"
title,"włóż {{title}}"
title,"uruchom {{title}}"
genre,"puść grę {{genre}}"
genre,"chcę grać {{genre}}"
genre,"znajdź grę {{genre}}"
genre,"włóż grę {{genre}}"
genre,"jestem w nastroju na {{genre}}"
genre,"streamuj grę {{genre}}"
genre,"postaw grę {{genre}}"
genre,"pokaż mi gry {{genre}}"
genre,"chcę {{genre}}"
platform,"znajdź grę {{platform}}"
platform,"chcę grać na {{platform}}"
platform,"pokaż mi gry {{platform}}"
platform,"jaki {{platform}} powinnam grać"
platform,"postaw grę {{platform}}"
platform,"puść coś na {{platform}}"
mood,"chcę czegoś uspokajającego"
mood,"puść coś trudnego"
mood,"znajdź mi coś zabawnego"
mood,"chcę czegoś konkurencyjnego"
mood,"puść coś kooperacyjnego"
mood,"znajdź mi coś strategicznego"
mood,"chcę przygodę"
mood,"puść coś przerażającego"
mood,"znajdź mi coś śmiesznego"
mood,"chcę coś oparte na historii"
mode,"puść tryb dla jednego gracza"
mode,"chcę multiplayer"
mode,"znajdź grę kooperacyjną"
mode,"puść coś konkurencyjnego"
mode,"chcę gry online"
mode,"znajdź multiplayer lokalny"
difficulty,"chcę czegoś łatwego"
difficulty,"puść coś trudnego"
difficulty,"znajdź grę wyzywającą"
difficulty,"chcę gry casual"
difficulty,"puść coś dla hardcore'owych graczy"
length,"chcę szybkiej gry"
length,"znajdź długą grę"
length,"potrzebuję krótkiej sesji"
length,"puść coś na kilka godzin"
duration,"mam 30 minut"
duration,"mam godzinę"
duration,"mam cały wieczór"
duration,"znajdź grę do jednej sesji"
exploration,"znajdź gry indie"
exploration,"pokaż mi ukryte klejnoty"
exploration,"polecaj grę"
exploration,"w co powinienem grać"
exploration,"zaskocz mnie grą"
exploration,"zasugeruj coś nowego"
exploration,"co jest trendy w grach"
exploration,"znajdź gry podobne do {{title}}"
rating,"pokaż mi wysokooceniane gry"
rating,"chcę nagrodzoną grę"
rating,"znajdź wysoko oceniane gry"
rating,"puść grę z dobrymi recenzjami"
franchise,"znajdź gry {{title}}"
franchise,"puść coś z serii {{title}}"
franchise,"jaka gra {{title}} powinna być"
franchise,"postaw {{title}}"
retro,"puść klasyczną grę"
retro,"chcę starą grę"
retro,"znajdź starą grę"
retro,"pokaż mi gry z {{year}}"
retro,"chcę grę arcade'ową"
recent,"puść nowe wydanie"
recent,"znajdź niedawną grę"
recent,"co jest nowe w grach"
recent,"pokaż mi gry z {{year}}"
recent,"postaw najnowsze wydanie"
provider,"znajdź grę na {{provider}}"
provider,"streamuj z {{provider}}"
provider,"pokaż mi gry {{provider}}"
provider,"puść coś z {{provider}}"
generic,"puść grę"
generic,"chcę grać w grę wideo"
generic,"zacznij grę"
generic,"się nudzę, puść grę"
generic,"znajdź mi grę"
generic,"pokaż mi grę"
generic,"w co powinienem grać"
generic,"zaskocz mnie grą"
generic,"puść coś dobrego"
generic,"postaw grę"
