category,template
title,"puść {title}"
title,"obejrzyj {title}"
title,"chcę obejrzeć {title}"
title,"włóż {title}"
title,"czy możesz puścić {title}"
title,"znajdź mi {title}"
title,"streamuj {title}"
title,"pokaż mi {title}"
title,"postaw {title}"
actor,"puść film z {actor}"
actor,"puść film ze {actor}"
actor,"chcę obejrzeć film z {actor}"
actor,"znajdź film z {actor}"
actor,"pokaż mi film ze {actor}"
actor,"chciałbym obejrzeć film z {actor}"
actor,"włóż film z {actor}"
actor,"streamuj film ze {actor}"
actor,"obejrzyj film z {actor}"
actor,"znajdź mi coś ze {actor}"
actor,"chcę zobaczyć {actor} w filmie"
actor,"czy możesz puścić film {actor}"
actor,"postaw film z {actor}"
director,"puść film {director}"
director,"chcę obejrzeć film {director}"
director,"pokaż mi film {director}"
director,"znajdź film {director}"
director,"chciałbym obejrzeć coś {director}"
director,"puść najnowszy film {director}"
director,"streamuj film w reżyserii {director}"
director,"puść film reżyserowany przez {director}"
director,"chcę obejrzeć coś {director}"
director,"znajdź mi film {director}"
director,"czy możesz puścić film {director}"
director,"postaw film {director}"
director,"jestem w nastroju na {{director}}"
director_actor,"puść film {{director}} z {{actor}}"
director_actor,"chcę obejrzeć film {{director}} ze {{actor}}"
director_actor,"znajdź mi film {{director}} z {{actor}}"
director_actor,"włóż film {{director}} z {{actor}}"
genre,"puść film {{genre}}"
genre,"chcę obejrzeć {{genre}}"
genre,"znajdź mi {{genre}}"
genre,"pokaż mi film {{genre}}"
genre,"jestem w nastroju na {{genre}}"
genre,"puść {{genre}} film"
genre,"chcę {{genre}} rozrywki"
genre,"streamuj film {{genre}}"
genre,"postaw film {{genre}}"
genre,"włóż {{genre}}"
year,"puść film z {{year}}"
year,"chcę obejrzeć film {{year}}"
year,"znajdź film z {{year}}"
year,"pokaż mi kinematografię {{year}}"
year,"chcę klasyka {{year}}"
year,"włóż film {{year}}"
era,"puść klasyk"
era,"chcę obejrzeć coś ze złotego wieku"
era,"znajdź mi nowoczesny film"
era,"pokaż mi współczesne kino"
era,"chcę retro film"
era,"puść niedawne wydanie"
mood,"znajdź mi coś do obejrzenia z rodziną"
mood,"chcę film do obejrzenia z przyjaciółmi"
mood,"puść coś śmiesznego"
mood,"potrzebuję czegoś strasznego"
mood,"chcę romantyczny film"
mood,"puść film akcji"
mood,"chcę coś skłaniającego do myślenia"
mood,"znajdź mi przygodę"
mood,"chcę coś lekkiego"
mood,"puść film do relaksu"
provider,"znajdź film na {provider}"
provider,"streamuj film na {provider}"
provider,"pokaż mi co nowego na {provider}"
provider,"puść film z {provider}"
studio,"znajdź film {{studio}}"
studio,"chcę obejrzeć coś {{studio}}"
studio,"pokaż mi produkcję {{studio}}"
discovery,"polecaj film"
discovery,"zasugeruj coś do obejrzenia"
discovery,"znajdź filmy podobne do {title}"
discovery,"co jest podobne do {title}"
discovery,"polecaj filmy podobne do {{title}}"
discovery,"pokaż mi nowości"
discovery,"co powinnam obejrzeć"
discovery,"zaskocz mnie filmem"
runtime,"puść krótki film"
runtime,"chcę szybkiego seansu"
runtime,"znajdź film pełnometrażowy"
runtime,"potrzebuję długiego filmu"
generic,"puść film"
generic,"obejrzyj film"
generic,"chcę obejrzeć film"
generic,"znajdź mi coś do obejrzenia"
generic,"puść dobry film"
generic,"włóż film"
generic,"postaw film"
generic,"się nudzę, puść film"
generic,"znajdź mi film"
generic,"pokaż mi film"
generic,"chcę zobaczyć film"
generic,"streamuj film"
generic,"jaki film powinnam obejrzeć"
generic,"puść coś dobrego"
