category,template
artist,"puść {artist}"
artist,"puść trochę {artist}"
artist,"chcę słuchać {artist}"
artist,"czy możesz puścić {artist}"
artist,"włóż trochę {artist}"
artist,"chciałbym usłyszeć {artist}"
artist,"streamuj {artist}"
artist,"puść muzykę od {artist}"
artist,"puść piosenkę od {artist}"
artist,"puść coś od {artist}"
artist,"mam ochotę słuchać {artist}"
artist,"jestem w nastroju na {artist}"
artist,"znajdź mi {artist}"
artist,"puść muzykę {artist}"
artist,"chcę usłyszeć {artist}"
artist,"postaw {artist}"
artist,"włóż {artist}"
artist,"daj mi {artist}"
artist,"chcę odkryć {artist}"
artist,"pokaż mi jak brzmi {artist}"
track,"puść {track}"
track,"puść piosenkę {track}"
track,"chcę usłyszeć {track}"
track,"znajdź mi {track}"
track,"chcę słuchać {track}"
track,"czy możesz puścić {track}"
track,"włóż {track}"
track,"postaw {track}"
track,"puść utwór {track}"
track,"streamuj {track}"
track,"szukam {track}"
track,"znajdź mi {track}"
track_artist,"puść {track} od {artist}"
track_artist,"chcę słuchać {track} od {artist}"
track_artist,"puść {track} z {artist}"
track_artist,"znajdź mi {track} od {artist}"
track_artist,"włóż {track} od {artist}"
track_artist,"postaw {track} od {artist}"
track_artist,"streamuj {track} od {artist}"
track_artist,"puść {track} z {artist}"
track_artist,"chcę {track} od {artist}"
genre,"puść trochę muzyki {genre}"
genre,"chcę słuchać {genre}"
genre,"włóż {genre}"
genre,"jestem w nastroju na {genre}"
genre,"puść playlistę {genre}"
genre,"znajdź mi {genre}"
genre,"puść {genre}"
genre,"chciałbym {genre}"
genre,"puść {genre}"
genre,"streamuj {genre}"
genre,"włóż muzykę {genre}"
genre,"mam ochotę na {genre}"
genre,"daj mi {genre} vibes"
genre,"pokaż mi {genre}"
genre,"postaw {genre}"
album,"puść album {album}"
album,"chcę usłyszeć {album}"
album,"włóż {album}"
album,"puść {album} od {artist}"
album,"streamuj album {album}"
album,"postaw {album}"
album,"puść cały album {album}"
album,"chcę słuchać {album}"
album,"znajdź mi {album}"
album,"puść {album} z {artist}"
album,"chcę usłyszeć album {album}"
album,"streamuj {album}"
featuring,"puść {track} z {artist}"
featuring,"streamuj {track} z {artist}"
featuring,"puść mi {track} z {artist}"
featuring,"chcę usłyszeć {track} z {artist}"
featuring,"włóż {track} z {artist}"
mood,"puść coś uspokajającego"
mood,"potrzebuję chill muzyki"
mood,"puść coś energetycznego"
mood,"chcę muzyki do pracy"
mood,"puść coś do nauki"
mood,"potrzebuję muzyki treningowej"
mood,"puść coś romantycznego"
mood,"daj mi happy'ego"
mood,"chcę smutnej muzyki"
mood,"puść coś pełnego energii"
playlist,"puść moją playlistę {playlist_name}"
playlist,"postaw moją {playlist_name}"
playlist,"chcę usłyszeć moją {playlist_name}"
playlist,"włóż moją playlistę {playlist_name}"
playlist,"streamuj moją {playlist_name}"
discovery,"odkryj nową muzykę {genre}"
discovery,"znajdź nową muzykę w {genre}"
discovery,"pokaż mi nowe piosenki {artist}"
discovery,"co nowego od {artist}"
discovery,"polecaj {genre}"
discovery,"daj mi nowe rekomendacje"
discovery,"puść nowe wydania {genre}"
generic,"puść muzykę"
generic,"puść muzykę"
generic,"chcę słuchać muzyki"
generic,"znajdź mi coś do słuchania"
generic,"puść coś"
generic,"postaw coś"
generic,"chcę usłyszeć coś"
generic,"włóż muzykę"
generic,"streamuj muzykę"
generic,"puść cokolwiek"
generic,"się nudzę, puść muzykę"
generic,"puść losową muzykę"
