category,template
show,"puść podcast {show}"
show,"chcę słuchać {show}"
show,"puść odcinek {show}"
show,"znajdź podcast {show}"
show,"włóż {show}"
show,"streamuj {show}"
show,"chcę usłyszeć {show}"
show,"wznów słuchanie {show}"
show,"postaw {show}"
show,"pokaż mi {show}"
show,"czy możesz puścić {show}"
show,"chciałbym słuchać {{show}}"
show,"wznów {show}"
show,"co nowego w {{show}}"
show,"puść najnowszy {{show}}"
show,"znajdź mi odcinek {{show}}"
show,"włóż {{show}}"
topic,"puść podcast o {topic}"
topic,"znajdź podcast o {topic}"
topic,"chcę słuchać podcast o {topic}"
topic,"włóż podcast o {topic}"
topic,"chciałbym podcast o {topic}"
topic,"streamuj podcast o {topic}"
topic,"znajdź podcast na temat {topic}"
topic,"puść coś o {topic}"
topic,"chcę usłyszeć podcast o {topic}"
topic,"znajdź mi podcast {{topic}}"
topic,"postaw podcast {{topic}}"
topic,"czy możesz puścić podcast {{topic}}"
topic,"pokaż mi podcast {{topic}}"
topic,"interesuje mnie podcast {{topic}}"
topic,"polecaj podcast {{topic}}"
episode,"puść najnowszy odcinek {show}"
episode,"znajdź nowy odcinek {show}"
episode,"włóż najnowszy odcinek {{show}}"
episode,"wznów z następnym odcinkiem {{show}}"
episode,"streamuj najnowszy {{show}}"
episode,"postaw nowy odcinek {{show}}"
episode,"jaki jest najnowszy odcinek {{show}}"
episode,"puść ostatni {{show}}"
series,"chcę zacząć nowy serial podcastu"
series,"znajdź mi serial podcastu"
series,"jaki serial podcastu powinnam słuchać"
series,"pokaż mi seriale podcastu o {{topic}}"
series,"postaw nowy serial"
series,"zacznij serial podcastu ze mną"
discovery,"polecaj podcast"
discovery,"zasugeruj coś do słuchania"
discovery,"znajdź podcasty o {{topic}}"
discovery,"co jest trendy w podcastach"
discovery,"pokaż mi nowe podcasty"
discovery,"znajdź ukryte klejnoty podcastu"
discovery,"jaki podcast powinnam spróbować"
discovery,"zaskocz mnie podcastem"
discovery,"znajdź podcasty podobne do {{show}}"
discovery,"co jest podobne do {{show}}"
length,"chcę krótki odcinek podcastu"
length,"znajdź długi podcast"
length,"potrzebuję szybkiego słuchania"
length,"puść coś do słuchania podczas dojazdów"
frequency,"znajdź mi tygodniowy podcast"
frequency,"chcę codzienny podcast"
frequency,"włóż coś co jest regularnie aktualizowane"
genre,"puść podcast {{genre}}"
genre,"chcę słuchać {{genre}} podcasta"
genre,"znajdź {{genre}} treści"
genre,"włóż {{genre}}"
genre,"streamuj podcast {{genre}}"
genre,"postaw {{genre}} serial"
genre,"jestem w nastroju na {{genre}} podcasty"
mood,"chcę coś edukacyjnego"
mood,"puść coś śmiesznego"
mood,"potrzebuję czegoś uspokajającego"
mood,"znajdź mi coś inspirującego"
mood,"chcę prawdziwych zbrodni"
mood,"puść coś przemyślanego"
mood,"znajdź mi coś zabawnego"
host,"znajdź podcasty {{host}}"
host,"chcę słuchać {{host}}"
host,"włóż show {{host}}"
host,"puść coś prowadzone przez {{host}}"
host,"streamuj podcast {{host}}"
provider,"znajdź podcast na {provider}"
provider,"streamuj z {{provider}}"
provider,"pokaż mi co jest na {{provider}}"
provider,"puść coś z {{provider}}"
generic,"puść podcast"
generic,"puść podcasty"
generic,"chcę słuchać podcastu"
generic,"znajdź mi coś do słuchania"
generic,"puść coś"
generic,"postaw coś"
generic,"chcę usłyszeć coś"
generic,"włóż podcast"
generic,"streamuj podcast"
generic,"puść cokolwiek"
generic,"się nudzę, puść podcast"
generic,"puść losowe podcasty"
generic,"jaki podcast powinnam słuchać"
