category,template
show,"puść {show}"
show,"włóż {show}"
show,"chcę obejrzeć {show}"
show,"znajdź mi {show}"
show,"puść odcinek {show}"
show,"streamuj {show}"
show,"chcę obejrzeć odcinek {show}"
show,"puść sezon 1 {show}"
show,"wznów {show}"
show,"czy możesz puścić {show}"
show,"pokaż mi {show}"
show,"chciałbym obejrzeć {show}"
show,"obejrzyj {show}"
show,"chcę zobaczyć {show}"
show,"puść następny odcinek {show}"
show,"postaw {show}"
show,"włóż {show} na"
show,"wznów {show}"
show,"co dalej w {{show}}"
episode,"puść następny odcinek {{show}}"
episode,"wznów {{show}} od miejsca gdzie skończyłem"
episode,"puść nowy odcinek {{show}}"
episode,"włóż odcinek {{show}}"
episode,"znajdź najnowszy odcinek {{show}}"
episode,"postaw następny {{show}}"
episode,"chcę obejrzeć następny {{show}}"
episode,"streamuj nowy {{show}}"
episode,"puść najnowszy odcinek {{show}}"
episode,"jaki jest najnowszy odcinek {{show}}"
season,"puść sezon {season} {{show}}"
season,"chcę obejrzeć sezon {{season}} {{show}}"
season,"streamuj sezon {{season}} {{show}}"
season,"zacznij od sezonu {{season}} {{show}}"
season,"włóż sezon {{season}} {{show}}"
season,"pokaż mi sezon {{season}} {{show}}"
season,"znajdź sezon {{season}} {{show}}"
genre,"puść {{genre}} serial"
genre,"chcę obejrzeć {{genre}} serial"
genre,"znajdź mi {{genre}} serial"
genre,"włóż {{genre}}"
genre,"pokaż mi {{genre}} serial"
genre,"jestem w nastroju na {{genre}}"
genre,"streamuj {{genre}} serial"
genre,"postaw {{genre}} serial"
provider,"znajdź serial na {provider}"
provider,"streamuj serial na {provider}"
provider,"pokaż mi co jest na {provider}"
provider,"puść coś z {provider}"
provider,"znajdź seriale dostępne na {provider}"
network,"pokaż mi seriale {{network}}"
network,"chcę obejrzeć coś {{network}}"
network,"znajdź mi produkcję {{network}}"
network,"puść serial {{network}}"
era,"puść klasyczny serial"
era,"chcę obejrzeć coś niedawnego"
era,"znajdź mi nowy serial"
era,"pokaż mi retro serial"
era,"chcę coś z lat 90"
era,"puść nowe wydanie"
era,"znajdź mi serial w trakcie emisji"
status,"wznów moją listę do obejrzenia"
status,"wznów od miejsca gdzie skończyłem"
status,"pokaż mi co oglądam"
status,"który serial Follow"
status,"znajdź nowe wydania"
status,"pokaż mi nadchodzące odcinki"
discovery,"polecaj serial"
discovery,"zasugeruj coś do obejrzenia"
discovery,"znajdź seriale podobne do {show}"
discovery,"co jest podobne do {{show}}"
discovery,"polecaj seriale podobne do {show}"
discovery,"pokaż mi trendy seriale"
discovery,"co powinnam binge'ować dalej"
discovery,"zaskocz mnie serialem"
discovery,"co jest popularne teraz"
discovery,"znajdź ukryte klejnoty"
length,"chcę krótko coś obejrzeć"
length,"puść szybki serial"
length,"znajdź długi serial do binge'u"
length,"potrzebuję miniseriału"
length,"pokaż mi seriale z jednym sezonem"
generic,"puść serial"
generic,"obejrzyj serial"
generic,"chcę obejrzeć serial"
generic,"znajdź mi coś do obejrzenia"
generic,"włóż coś"
generic,"postaw serial"
generic,"się nudzę, puść serial"
generic,"znajdź mi serial"
generic,"pokaż mi serial"
generic,"chcę zobaczyć co jest na"
generic,"streamuj coś"
generic,"co powinnam obejrzeć"
generic,"puść coś dobrego"
generic,"chcę binge'ować coś"
