category,template
title,"toca {title}"
title,"lê {title} para mim"
title,"eu quero ouvir {title}"
title,"toca o audiolivro {title}"
title,"encontra o audiolivro {title}"
title,"eu quero ouvir {title}"
title,"coloca na fila {title}"
title,"coloca {title}"
title,"transmite {title}"
title,"eu gostaria de ouvir {{title}}"
title_author,"toca {title} de {author}"
title_author,"lê {{title}} para mim"
title_author,"eu quero ouvir {{title}} de {author}"
title_author,"encontra {{title}} de {{author}} para mim"
title_author,"coloca {{title}} de {{author}}"
title_author,"transmite {{title}} de {{author}}"
author,"encontra um audiolivro de {author}"
author,"toca um livro de {author}"
author,"eu gostaria de ouvir {author}"
author,"lê algo de {author} para mim"
author,"toca um audiolivro de {author}"
author,"encontra um audiolivro de {{author}}"
author,"coloca na fila um audiolivro de {{author}}"
author,"eu quero o trabalho de {{author}}"
author,"transmite {{author}}"
author,"coloca algo de {{author}}"
author,"me mostra audiolivros de {{author}}"
genre,"toca um audiolivro de {{genre}}"
genre,"eu quero ouvir um livro de {{genre}}"
genre,"encontra um audiolivro de {{genre}} para mim"
genre,"coloca algo {{genre}}"
genre,"transmite um audiolivro de {{genre}}"
genre,"coloca na fila um livro de {{genre}}"
genre,"estou na vibe de {{genre}}"
genre,"me mostra histórias de {{genre}}"
narrator,"toca algo narrado por {narrator}"
narrator,"eu quero ouvir a narração de {{narrator}}"
narrator,"encontra um audiolivro narrado por {{narrator}}"
narrator,"coloca na fila um audiolivro de {{narrator}}"
narrator,"coloca um livro narrado por {{narrator}}"
mood,"eu quero algo relaxante"
mood,"toca algo emocionante"
mood,"encontra algo engraçado para mim"
mood,"eu quero algo triste"
mood,"toca algo inspirador"
mood,"encontra uma aventura para mim"
mood,"eu quero um mistério"
mood,"toca algo romântico"
mood,"encontra algo sombrio para mim"
series,"continue a série {{title}}"
series,"toca o próximo livro da série {{title}}"
series,"eu quero ouvir a série {{title}}"
series,"encontra a série {{title}}"
series,"coloca na fila o próximo livro da série {{title}}"
duration,"eu quero um audiolivro curto"
duration,"toca algo rápido"
duration,"encontra um audiolivro longo para essa noite"
duration,"preciso de um audiolivro para uma viagem"
duration,"toca um audiolivro de várias horas"
discovery,"recomenda um audiolivro"
discovery,"sugere algo para eu ouvir"
discovery,"encontra livros como {{title}}"
discovery,"o que eu deveria ouvir a seguir"
discovery,"recomenda autores como {{author}}"
discovery,"me mostra lançamentos"
discovery,"me surpreende com um audiolivro"
discovery,"o que é tendência em audiolivros"
format,"toca um audiolivro completo"
format,"eu quero uma versão abreviada"
format,"encontra um audiolivro dramatizado"
provider,"encontra um audiolivro em {{provider}}"
provider,"transmite de {{provider}}"
provider,"me mostra o que há em {{provider}}"
status,"continue de onde parei"
status,"retoma meu audiolivro"
status,"me mostra minha lista de audição"
status,"o que estou ouvindo agora"
generic,"toca um audiolivro"
generic,"lê um livro para mim"
generic,"eu quero ouvir um livro"
generic,"encontra algo para eu ouvir"
generic,"toca algo"
generic,"eu quero ouvir uma história"
generic,"coloca na fila um audiolivro"
generic,"estou entediado, toca um audiolivro"
generic,"encontra um audiolivro para mim"
generic,"me mostra um livro"
generic,"eu quero ouvir algo"
generic,"transmite um audiolivro"
