category,template
title,"toca {title}"
title,"assiste {title}"
title,"eu quero assistir {title}"
title,"coloca {title}"
title,"você pode tocar {title}"
title,"encontra {title} para mim"
title,"transmite {title}"
title,"me mostra {title}"
title,"coloca na fila {title}"
actor,"toca um filme com {actor}"
actor,"toca um filme estrelado por {actor}"
actor,"eu quero assistir um filme com {actor}"
actor,"encontra um filme com {actor}"
actor,"me mostra um filme estrelado por {actor}"
actor,"eu gostaria de assistir um filme com {actor}"
actor,"coloca um filme com {actor}"
actor,"transmite um filme estrelado por {actor}"
actor,"assiste um filme com {actor} nele"
actor,"encontra algo estrelado por {actor} para mim"
actor,"eu quero ver {actor} em um filme"
actor,"você pode tocar um filme de {actor}"
actor,"coloca na fila um filme com {actor}"
director,"toca um filme de {director}"
director,"eu quero assistir um filme de {director}"
director,"me mostra um filme de {director}"
director,"encontra um filme de {director}"
director,"eu gostaria de assistir algo de {director}"
director,"toca o último filme de {director}"
director,"transmite um filme dirigido por {director}"
director,"toca um filme dirigido por {director}"
director,"eu quero assistir algo dirigido por {director}"
director,"encontra um filme de {director} para mim"
director,"você pode tocar um filme de {director}"
director,"coloca na fila um filme de {director}"
director,"estou na vibe de {director}"
director_actor,"toca um filme de {{director}} com {{actor}}"
director_actor,"eu quero assistir um filme de {{director}} estrelado por {actor}"
director_actor,"encontra um filme de {{director}} com {actor} para mim"
director_actor,"coloca um filme de {{director}} com {actor}"
genre,"toca um filme de {{genre}}"
genre,"eu quero assistir {{genre}}"
genre,"encontra algo {{genre}} para mim"
genre,"me mostra um filme {{genre}}"
genre,"estou na vibe de {{genre}}"
genre,"toca um filme {{genre}}"
genre,"eu quero entretenimento {{genre}}"
genre,"transmite um filme {{genre}}"
genre,"coloca na fila um filme {{genre}}"
genre,"coloca algo {{genre}} para tocar"
year,"toca um filme do ano {year}"
year,"eu quero assistir um filme de {{year}}"
year,"encontra um filme de {{year}} para mim"
year,"me mostra cinema de {{year}}"
year,"eu quero um clássico de {{year}}"
year,"coloca um filme de {{year}}"
era,"toca um filme clássico"
era,"eu quero assistir algo da era de ouro"
era,"encontra um filme moderno para mim"
era,"me mostra cinema contemporâneo"
era,"eu quero um filme retrô"
era,"toca um lançamento recente"
mood,"encontra algo que eu possa assistir com a família"
mood,"eu quero um filme para assistir com amigos"
mood,"toca algo engraçado"
mood,"preciso de algo assustador"
mood,"eu quero um filme romântico"
mood,"toca um filme de ação"
mood,"eu quero algo que me faça pensar"
mood,"encontra uma aventura para mim"
mood,"eu quero algo leve"
mood,"toca um filme que eu possa relaxar"
provider,"encontra um filme em {provider}"
provider,"transmite um filme em {provider}"
provider,"me mostra o que há de novo em {provider}"
provider,"toca um filme de {provider}"
studio,"encontra um filme de {studio}"
studio,"eu quero assistir algo de {studio}"
studio,"me mostra uma produção de {{studio}}"
discovery,"recomenda um filme"
discovery,"sugere algo para eu assistir"
discovery,"encontra filmes como {title}"
discovery,"o que é parecido com {title}"
discovery,"recomenda filmes como {{title}}"
discovery,"me mostra lançamentos"
discovery,"o que eu deveria assistir a seguir"
discovery,"me surpreende com um filme"
runtime,"toca um filme curto"
runtime,"eu quero algo rápido para assistir"
runtime,"encontra um filme de longa metragem"
runtime,"preciso de um filme longo para hoje à noite"
generic,"toca um filme"
generic,"assiste um filme"
generic,"eu quero assistir um filme"
generic,"encontra algo para eu assistir"
generic,"toca um bom filme"
generic,"coloca um filme para tocar"
generic,"coloca na fila um filme"
generic,"estou entediado, toca um filme"
generic,"encontra um filme para mim"
generic,"me mostra um filme"
generic,"eu quero ver um filme"
generic,"transmite um filme"
generic,"qual filme eu deveria assistir"
generic,"toca um bom filme"
