category,template
artist,"toca {artist}"
artist,"toca um pouco de {artist}"
artist,"eu quero ouvir {artist}"
artist,"você pode tocar {artist}"
artist,"coloca um pouco de {artist}"
artist,"eu gostaria de ouvir {artist}"
artist,"transmite {artist}"
artist,"toca música de {artist}"
artist,"toca uma música de {artist}"
artist,"toca algo de {artist}"
artist,"estou a fim de ouvir {artist}"
artist,"estou na vibe de {artist}"
artist,"toca um pouco de {artist} para mim"
artist,"toca a música de {artist}"
artist,"eu quero ouvir {artist}"
artist,"coloca {artist} para tocar"
artist,"toca {artist} agora"
artist,"me toca algo de {artist}"
artist,"eu quero descobrir {artist}"
artist,"me mostra como {artist} soa"
track,"toca {track}"
track,"toca a música {track}"
track,"eu quero ouvir {track}"
track,"encontra {track} para mim"
track,"eu quero escutar {track}"
track,"você pode tocar {track}"
track,"coloca {track}"
track,"toca a faixa {track}"
track,"transmite {track}"
track,"estou procurando por {track}"
track,"me encontra {track}"
track_artist,"toca {track} de {artist}"
track_artist,"eu quero escutar {track} de {artist}"
track_artist,"toca {track} de {artist}"
track_artist,"encontra {track} de {artist} para mim"
track_artist,"coloca {track} de {artist}"
track_artist,"coloca na fila {track} de {artist}"
track_artist,"transmite {track} de {artist}"
track_artist,"toca {track} de {artist}"
track_artist,"eu quero {track} de {artist}"
genre,"toca uma música de {genre}"
genre,"eu quero escutar um pouco de {genre}"
genre,"coloca um pouco de {genre}"
genre,"estou a fim de {genre}"
genre,"toca uma playlist de {genre}"
genre,"encontra um pouco de música de {genre} para mim"
genre,"toca {genre} para mim"
genre,"eu gostaria de um pouco de {genre}"
genre,"toca {genre}"
genre,"transmite um pouco de {genre}"
genre,"coloca música de {genre}"
genre,"estou a fim de {genre} agora"
genre,"me dá uma vibração de {genre}"
genre,"me mostra um pouco de {genre}"
genre,"coloca na fila um pouco de {genre}"
album,"toca o álbum {album}"
album,"eu quero ouvir {album}"
album,"coloca {album}"
album,"toca {album} de {artist}"
album,"transmite o álbum {album}"
album,"coloca na fila {album}"
album,"toca o álbum completo {album}"
album,"eu quero escutar {album}"
album,"encontra {album} para mim"
album,"toca {album} de {artist}"
album,"eu quero ouvir o álbum {album}"
album,"transmite {album}"
featuring,"toca {track} com a participação de {artist}"
featuring,"transmite {track} com a participação de {artist}"
featuring,"toca {track} com a participação de {artist} para mim"
featuring,"eu quero ouvir {track} com a participação de {artist}"
featuring,"coloca {track} com a participação de {artist}"
mood,"toca algo relaxante"
mood,"preciso de uma música chill"
mood,"toca algo animado"
mood,"eu quero música para trabalhar"
mood,"toca algo para estudar"
mood,"preciso de música para treinar"
mood,"toca algo romântico"
mood,"me dá uma música feliz"
mood,"eu quero música melancólica"
mood,"toca algo energético"
playlist,"toca minha playlist {playlist_name}"
playlist,"coloca na fila minha {playlist_name}"
playlist,"eu quero ouvir minha {playlist_name}"
playlist,"coloca minha playlist {playlist_name} para tocar"
playlist,"transmite minha {playlist_name}"
discovery,"descobre novo {genre}"
discovery,"encontra música nova em {genre}"
discovery,"me mostra músicas novas de {artist}"
discovery,"qual é o novo de {artist}"
discovery,"recomenda para mim algumas músicas de {genre}"
discovery,"me dá recomendações de música nova"
discovery,"toca lançamentos em {genre}"
generic,"toca uma música"
generic,"toca música"
generic,"eu quero escutar música"
generic,"encontra algo para mim ouvir"
generic,"toca algo"
generic,"coloca algo na fila"
generic,"eu quero ouvir algo"
generic,"coloca uma música para tocar"
generic,"transmite um pouco de música"
generic,"toca qualquer coisa"
generic,"estou entediado, toca música"
generic,"toca música aleatória"
