category,template
generic,"toca as notícias"
generic,"eu quero ouvir as notícias"
generic,"me dá as notícias mais recentes"
generic,"o que há de novo nas notícias hoje"
generic,"lê os destaques para mim"
generic,"qual é a notícia mais recente"
generic,"toca as notícias da manhã"
generic,"toca as notícias de hoje"
generic,"me deixa por dentro das notícias"
generic,"transmite as notícias"
generic,"eu gostaria de ouvir as notícias"
generic,"toca as notícias da noite"
generic,"encontra cobertura de notícias"
generic,"me mostra o que está acontecendo"
generic,"eu quero notícias atuais"
provider,"toca notícias de {provider}"
provider,"eu quero ouvir notícias de {{provider}}"
provider,"transmite notícias de {{provider}}"
provider,"toca notícias de {{provider}}"
provider,"encontra notícias de {{provider}} para mim"
provider,"o que {{provider}} está dizendo hoje"
provider,"sintonize em {{provider}}"
provider,"me mostra {{provider}}"
provider,"coloca na fila notícias de {{provider}}"
category,"toca notícias de {{category}}"
category,"eu quero ouvir notícias de {{category}}"
category,"me mostra {{category}}"
category,"encontra atualizações de {{category}} para mim"
category,"coloca notícias de {{category}}"
category,"transmite {{category}}"
category,"coloca na fila {{category}}"
category,"estou interessado em notícias de {{category}}"
category,"me dá destaques de {{category}}"
time,"toca o boletim da manhã"
time,"eu quero as notícias da noite"
time,"toca o resumo de notícias de hoje"
time,"me dá os últimos destaques"
time,"toca as notícias do meio do dia"
time,"eu quero as notícias da noite"
time,"me mostra notícias de última hora"
time,"encontra cobertura ao vivo"
time,"toca notícias recentes"
topic,"eu quero notícias sobre {{topic}}"
topic,"encontra cobertura de {{topic}} para mim"
topic,"toca notícias sobre {{topic}}"
topic,"me mostra atualizações de {{topic}}"
topic,"transmite notícias de {{topic}}"
topic,"coloca na fila histórias de {{topic}}"
topic,"qual é a novidade sobre {{topic}}"
topic,"me dá destaques de {{topic}}"
topic,"estou interessado em notícias de {{topic}}"
region,"toca notícias de {{region}}"
region,"eu quero notícias de {{region}}"
region,"transmite cobertura de {{region}}"
region,"me mostra destaques de {{region}}"
region,"encontra notícias de {{region}}"
region,"o que está acontecendo em {{region}}"
language,"toca notícias em {{language}}"
language,"eu quero cobertura de notícias em {{language}}"
language,"me mostra destaques em {{language}}"
language,"transmite em {{language}}"
source,"encontra cobertura de {{source}}"
source,"eu quero reportagem de {{source}}"
source,"me mostra {{source}}"
source,"toca notícias de {{source}}"
source,"transmite {{source}}"
source,"coloca na fila {{source}}"
discovery,"o que é tendência"
discovery,"me mostra as principais histórias"
discovery,"o que eu deveria saber hoje"
discovery,"notícias surpreendentes"
discovery,"destaques importantes"
discovery,"notícias de última hora"
discovery,"as principais histórias agora"
format,"toca um podcast de notícias"
format,"eu quero um programa de notícias em vídeo"
format,"me mostra resumos escritos"
format,"toca um boletim de notícias"
format,"transmite notícias em vídeo"
mood,"eu quero um resumo abrangente"
mood,"me dá a versão rápida"
mood,"eu quero análise em profundidade"
mood,"toca uma cobertura leve de notícias"
mood,"encontra jornalismo sério para mim"
weather,"qual é o tempo"
weather,"me diz o tempo"
weather,"toca a previsão do tempo"
weather,"eu quero saber como está o tempo"
traffic,"me diz o trânsito"
traffic,"toca atualizações de trânsito"
traffic,"qual é a situação do trânsito"
traffic,"encontra notícias de trânsito"
sports,"toca notícias de esportes"
sports,"eu quero atualizações de esportes"
sports,"me mostra destaques de esportes"
sports,"transmite cobertura de esportes"
business,"toca notícias de negócios"
business,"eu quero notícias financeiras"
business,"me mostra atualizações do mercado"
business,"transmite cobertura de negócios"
tech,"toca notícias de tecnologia"
tech,"eu quero atualizações de tecnologia"
tech,"me mostra destaques de tecnologia"
tech,"transmite cobertura de tecnologia"
generic,"toca algo"
generic,"eu quero notícias atuais"
generic,"me mostra o que está acontecendo"
generic,"me dá atualizações"
generic,"transmite notícias"
generic,"coloca na fila notícias"
