category,template
show,"toca o podcast {show}"
show,"eu quero ouvir {show}"
show,"toca um episódio de {show}"
show,"encontra o podcast {show}"
show,"coloca {show}"
show,"transmite {show}"
show,"eu quero ouvir {show}"
show,"continue ouvindo {show}"
show,"coloca na fila {show}"
show,"me mostra {show}"
show,"você pode tocar {show}"
show,"eu gostaria de ouvir {{show}}"
show,"retoma {show}"
show,"qual é o novo em {{show}}"
show,"toca o último {{show}}"
show,"encontra um episódio de {{show}} para mim"
show,"coloca {{show}} para tocar"
topic,"toca um podcast sobre {topic}"
topic,"encontra um podcast sobre {topic} para mim"
topic,"eu quero ouvir um podcast sobre {topic}"
topic,"coloca um podcast de {topic}"
topic,"eu gostaria de um podcast sobre {topic}"
topic,"transmite um podcast sobre {topic}"
topic,"encontra um podcast sobre {topic}"
topic,"toca algo sobre {topic}"
topic,"eu quero ouvir um podcast sobre {topic}"
topic,"encontra um podcast de {topic} para mim"
topic,"coloca na fila um podcast de {{topic}}"
topic,"você pode tocar um podcast de {{topic}}"
topic,"me mostra um podcast sobre {{topic}}"
topic,"estou interessado em um podcast de {{topic}}"
topic,"recomenda um podcast de {{topic}}"
episode,"toca o episódio mais recente de {show}"
episode,"encontra um episódio novo de {show}"
episode,"coloca o episódio mais novo de {{show}}"
episode,"continue com o próximo episódio de {{show}}"
episode,"transmite o episódio mais recente de {{show}}"
episode,"coloca na fila o novo episódio de {{show}}"
episode,"qual é o episódio mais novo de {{show}}"
episode,"toca o episódio mais recente de {{show}}"
series,"eu quero começar uma nova série de podcast"
series,"encontra uma série de podcast para mim"
series,"qual série de podcast eu deveria ouvir"
series,"me mostra séries de podcast sobre {{topic}}"
series,"coloca na fila uma nova série"
series,"comece uma série de podcast comigo"
discovery,"recomenda um podcast"
discovery,"sugere algo para eu ouvir"
discovery,"encontra podcasts sobre {{topic}}"
discovery,"o que é tendência em podcasts"
discovery,"me mostra novos podcasts"
discovery,"encontra pérolas em podcasts"
discovery,"qual podcast eu deveria tentar"
discovery,"me surpreende com um podcast"
discovery,"encontra séries como {{show}}"
discovery,"o que é parecido com {{show}}"
length,"eu quero um episódio de podcast curto"
length,"encontra um podcast longo para mim"
length,"preciso de algo rápido para ouvir"
length,"toca algo que eu possa ouvir no caminho"
frequency,"encontra um podcast semanal para mim"
frequency,"eu quero um podcast diário"
frequency,"coloca algo que é atualizado regularmente"
genre,"toca um podcast de {{genre}}"
genre,"eu quero ouvir um programa de {{genre}}"
genre,"encontra conteúdo {{genre}} para mim"
genre,"coloca algo {{genre}}"
genre,"transmite um podcast de {{genre}}"
genre,"coloca na fila um programa de {{genre}}"
genre,"estou na vibe de podcasts de {{genre}}"
mood,"eu quero algo educativo"
mood,"toca algo engraçado"
mood,"preciso de algo relaxante"
mood,"encontra algo inspirador para mim"
mood,"eu quero true crime"
mood,"toca algo pensante"
mood,"encontra conteúdo de entretenimento para mim"
host,"encontra podcasts de {host}"
host,"eu quero ouvir {{host}}"
host,"coloca um programa de {{host}}"
host,"toca algo apresentado por {{host}}"
host,"transmite o podcast de {{host}}"
provider,"encontra um podcast em {provider}"
provider,"transmite de {{provider}}"
provider,"me mostra o que há em {{provider}}"
provider,"toca algo de {{provider}}"
generic,"toca um podcast"
generic,"toca alguns podcasts"
generic,"eu quero ouvir um podcast"
generic,"encontra algo para eu ouvir"
generic,"toca algo"
generic,"coloca na fila algo"
generic,"eu quero ouvir algo"
generic,"coloca um podcast para tocar"
generic,"transmite um podcast"
generic,"toca qualquer coisa"
generic,"estou entediado, toca um podcast"
generic,"toca podcasts aleatórios"
generic,"qual podcast eu deveria ouvir"
