category,template
show,"toca {show}"
show,"coloca {show}"
show,"eu quero assistir {show}"
show,"encontra {show} para mim"
show,"toca um episódio de {show}"
show,"transmite {show}"
show,"eu quero assistir um episódio de {show}"
show,"toca a temporada 1 de {show}"
show,"continue assistindo {show}"
show,"você pode tocar {show}"
show,"me mostra {show}"
show,"eu gostaria de assistir {show}"
show,"assiste {show}"
show,"eu quero ver {show}"
show,"toca o próximo episódio de {show}"
show,"coloca na fila {show}"
show,"coloca {show} para tocar"
show,"retoma {show}"
show,"qual é o próximo em {show}"
episode,"toca o próximo episódio de {show}"
episode,"continue {{show}} de onde parei"
episode,"toca um episódio novo de {show}"
episode,"coloca um episódio de {{show}}"
episode,"encontra o episódio mais recente de {{show}}"
episode,"coloca na fila o próximo {{show}}"
episode,"eu quero assistir o próximo {{show}}"
episode,"transmite novo {{show}}"
episode,"toca o episódio mais recente de {{show}}"
episode,"qual é o episódio mais novo de {{show}}"
season,"toca a temporada {season} de {show}"
season,"eu quero assistir a temporada {{season}} de {show}"
season,"transmite a temporada {{season}} de {show}"
season,"comece a partir da temporada {{season}} de {show}"
season,"coloca a temporada {{season}} de {show}"
season,"me mostra a temporada {{season}} de {show}"
season,"encontra a temporada {{season}} de {show}"
genre,"toca uma série de {genre}"
genre,"eu quero assistir uma série de {{genre}}"
genre,"encontra uma série de {{genre}} para mim"
genre,"coloca algo {{genre}}"
genre,"me mostra uma série de {{genre}}"
genre,"estou na vibe de {{genre}}"
genre,"transmite uma série de {{genre}}"
genre,"coloca na fila uma série de {{genre}}"
provider,"encontra uma série em {provider}"
provider,"transmite uma série em {provider}"
provider,"me mostra o que há em {provider}"
provider,"toca algo de {provider}"
provider,"encontra séries disponíveis em {provider}"
network,"me mostra séries de {{network}}"
network,"eu quero assistir algo de {{network}}"
network,"encontra uma produção de {{network}} para mim"
network,"toca uma série de {{network}}"
era,"toca uma série clássica"
era,"eu quero assistir algo recente"
era,"encontra uma nova série para mim"
era,"me mostra uma série retrô"
era,"eu quero algo dos anos 90"
era,"toca um lançamento recente"
era,"encontra uma série em andamento para mim"
status,"continue minha lista de assistir"
status,"retoma de onde parei"
status,"me mostra o que estou assistindo"
status,"qual série estou acompanhando"
status,"encontra lançamentos recentes"
status,"me mostra episódios que vão ao ar"
discovery,"recomenda uma série"
discovery,"sugere algo para eu assistir"
discovery,"encontra séries como {show}"
discovery,"o que é parecido com {{show}}"
discovery,"recomenda séries como {show}"
discovery,"me mostra séries em alta"
discovery,"qual série eu deveria assistir a seguir"
discovery,"me surpreende com uma série"
discovery,"o que é popular agora"
discovery,"encontra pérolas no mundo das séries"
length,"eu quero algo curto para assistir"
length,"toca uma série rápida"
length,"encontra uma série longa para bingewatch"
length,"preciso de uma minissérie"
length,"me mostra séries de uma única temporada"
generic,"toca uma série"
generic,"assiste uma série"
generic,"eu quero assistir uma série"
generic,"encontra algo para eu assistir"
generic,"coloca algo para tocar"
generic,"coloca na fila uma série"
generic,"estou entediado, toca uma série"
generic,"encontra uma série para mim"
generic,"me mostra uma série"
generic,"eu quero ver o que há para assistir"
generic,"transmite algo"
generic,"o que eu deveria assistir"
generic,"toca algo bom"
generic,"eu quero fazer uma maratona de algo"
