category,template
title,"toca {title}"
title,"vê {title}"
title,"quero ver {title}"
title,"coloca {title}"
title,"toca um episódio de {title}"
title,"faz stream de {title}"
title,"encontra {title} para mim"
title,"gostaria de ver {{title}}"
title,"toca o anime {{title}}"
title,"mostra-me {{title}}"
title,"coloca {{title}} na fila"
title,"retoma {{title}}"
title,"continua {{title}}"
season,"toca a temporada 1 de {title}"
season,"quero ver a temporada {{season}} de {title}"
season,"faz stream da temporada {{season}} de {{title}}"
season,"coloca a temporada {{season}}"
season,"encontra a temporada {{season}}"
episode,"toca o próximo episódio de {title}"
episode,"continua {{title}} a partir de onde parei"
episode,"coloca um episódio novo {{title}}"
episode,"encontra o último episódio {{title}}"
episode,"coloca o próximo {{title}} na fila"
episode,"qual é o episódio mais novo {{title}}"
genre,"toca anime {{genre}}"
genre,"quero ver {{genre}}"
genre,"encontra-me anime {{genre}}"
genre,"coloca um pouco {{genre}}"
genre,"estou com disposição para {{genre}}"
genre,"faz stream de anime {{genre}}"
genre,"coloca programas {{genre}} na fila"
genre,"mostra-me série {{genre}}"
genre,"encontra conteúdo {{genre}}"
mood,"quero algo cheio de ação"
mood,"toca algo engraçado"
mood,"encontra-me algo romântico"
mood,"quero algo sombrio"
mood,"toca algo caloroso"
mood,"encontra-me algo reflexivo"
mood,"quero uma épica aventura"
mood,"toca algo bonito"
mood,"encontra-me algo misterioso"
mood,"quero algo emocional"
era,"toca um anime clássico"
era,"quero algo recente"
era,"encontra-me um anime novo"
era,"mostra-me lançamentos recentes"
era,"quero algo dos anos 2000"
era,"toca um anime antigo"
era,"encontra uma joia escondida de anime"
studio,"encontra anime de {{studio}}"
studio,"quero produções {{studio}}"
studio,"mostra-me anime {{studio}}"
studio,"toca algo de {{studio}}"
type,"quero uma série de TV"
type,"encontra um filme"
type,"quero uma série curta"
type,"toca um OVA"
type,"encontra um único episódio"
status,"continua a minha lista de espera"
status,"retoma a partir de onde parei"
status,"mostra-me o que estou a ver"
status,"que anime estou a acompanhar"
status,"encontra novos lançamentos"
status,"mostra-me série em andamento"
status,"encontra série completa"
discovery,"recomenda-me um anime"
discovery,"sugere-me algo para ver"
discovery,"encontra anime como {{title}}"
discovery,"o que é parecido a {{title}}"
discovery,"recomenda-me programas como {{title}}"
discovery,"mostra-me anime em tendência"
discovery,"o que deveria ver a seguir"
discovery,"surpreende-me com um anime"
discovery,"o que é popular neste momento"
discovery,"encontra joias escondidas"
provider,"encontra anime em {{provider}}"
provider,"faz stream de {{provider}}"
provider,"mostra-me o que está em {{provider}}"
provider,"toca algo de {{provider}}"
rating,"mostra-me anime melhor classificado"
rating,"quero uma série aclamada pela crítica"
rating,"encontra anime muito bem classificado"
rating,"toca um programa com ótimas críticas"
length,"quero um anime curto"
length,"encontra uma série longa"
length,"preciso de uma escrita rápida"
length,"encontra uma série de 13 episódios"
length,"toca algo com múltiplas temporadas"
generic,"toca anime"
generic,"quero ver alguns anime"
generic,"encontra-me um bom anime"
generic,"quero ver anime"
generic,"coloca um pouco de anime"
generic,"faz stream de anime"
generic,"mostra-me anime"
generic,"coloca um anime na fila"
generic,"que anime deveria ver"
generic,"toca algo"
generic,"estou aborrecido, toca anime"
