category,template
title,"toca {title}"
title,"lê-me {title}"
title,"quero ouvir {title}"
title,"toca o audiolivro {title}"
title,"encontra o audiolivro {title}"
title,"quero ouvir {title}"
title,"coloca {title} na fila"
title,"coloca {title}"
title,"faz stream de {title}"
title,"gostaria de ouvir {{title}}"
title_author,"toca {title} de {author}"
title_author,"lê-me {{title}}"
title_author,"quero ouvir {{title}} de {author}"
title_author,"encontra-me {{title}} de {{author}}"
title_author,"coloca {{title}} de {{author}}"
title_author,"faz stream {{title}} de {{author}}"
author,"encontra-me um audiolivro de {author}"
author,"toca um livro de {author}"
author,"gostaria de ouvir {author}"
author,"lê-me algo de {author}"
author,"toca um audiolivro de {author}"
author,"encontra um audiolivro de {{author}}"
author,"coloca um audiolivro {{author}} na fila"
author,"quero o trabalho {{author}}"
author,"faz stream {{author}}"
author,"coloca algo de {{author}}"
author,"mostra-me audiolivros {{author}}"
genre,"toca um audiolivro {{genre}}"
genre,"quero ouvir um livro {{genre}}"
genre,"encontra-me um audiolivro {{genre}}"
genre,"coloca algo {{genre}}"
genre,"faz stream de um audiolivro {{genre}}"
genre,"coloca um livro {{genre}} na fila"
genre,"estou com disposição para {{genre}}"
genre,"mostra-me histórias {{genre}}"
narrator,"toca algo narrado por {narrator}"
narrator,"quero ouvir a narração {{narrator}}"
narrator,"encontra um audiolivro de {{narrator}}"
narrator,"coloca um audiolivro {{narrator}} na fila"
narrator,"coloca um livro {{narrator}}"
mood,"quero algo relaxante"
mood,"toca algo emocionante"
mood,"encontra-me algo engraçado"
mood,"quero algo triste"
mood,"toca algo inspirador"
mood,"encontra-me uma aventura"
mood,"quero um mistério"
mood,"toca algo romântico"
mood,"encontra-me algo sombrio"
series,"continua a série {{title}}"
series,"toca o próximo livro em {{title}}"
series,"quero ouvir a série {{title}}"
series,"encontra a série {{title}}"
series,"coloca o próximo livro em {{title}} na fila"
duration,"quero um audiolivro curto"
duration,"toca algo rápido"
duration,"encontra um audiolivro longo para esta noite"
duration,"preciso de um audiolivro para uma viagem de carro"
duration,"toca um audiolivro de múltiplas horas"
discovery,"recomenda-me um audiolivro"
discovery,"sugere-me algo para ouvir"
discovery,"encontra livros como {{title}}"
discovery,"o que deveria ouvir a seguir"
discovery,"recomenda-me autores como {{author}}"
discovery,"mostra-me novos lançamentos"
discovery,"surpreende-me com um audiolivro"
discovery,"o que está em tendência em audiolivros"
format,"toca um audiolivro integral"
format,"quero uma versão reduzida"
format,"encontra um audiolivro dramatizado"
provider,"encontra um audiolivro em {{provider}}"
provider,"faz stream de {{provider}}"
provider,"mostra-me o que está em {{provider}}"
status,"continua a partir de onde parei"
status,"retoma o meu audiolivro"
status,"mostra-me a minha lista de escuta"
status,"o que estou a ouvir neste momento"
generic,"toca um audiolivro"
generic,"lê-me um livro"
generic,"quero ouvir um livro"
generic,"encontra-me algo para ouvir"
generic,"toca algo"
generic,"quero ouvir uma história"
generic,"coloca um audiolivro na fila"
generic,"estou aborrecido, toca um audiolivro"
generic,"encontra-me um audiolivro"
generic,"mostra-me um livro"
generic,"quero ouvir algo"
generic,"faz stream de um audiolivro"
