category,template
title,"toca {title}"
title,"quero jogar {title}"
title,"inicia {title}"
title,"começa {title}"
title,"abre {title}"
title,"gostaria de jogar {title}"
title,"encontra {title}"
title,"carrega {title}"
title,"inicia {{title}}"
title,"podes tocar {{title}}"
title,"coloca {{title}} na fila"
title,"executa {{title}}"
genre,"toca um jogo {{genre}}"
genre,"quero jogar {{genre}}"
genre,"encontra-me um jogo {{genre}}"
genre,"coloca um jogo {{genre}}"
genre,"estou com disposição para {{genre}}"
genre,"faz stream de um jogo {{genre}}"
genre,"coloca um jogo {{genre}} na fila"
genre,"mostra-me jogos {{genre}}"
genre,"quero algo {{genre}}"
platform,"encontra um jogo {{platform}}"
platform,"quero jogar em {{platform}}"
platform,"mostra-me jogos {{platform}}"
platform,"que jogos {{platform}} deveria jogar"
platform,"coloca um jogo {{platform}} na fila"
platform,"toca algo em {{platform}}"
mood,"quero algo relaxante"
mood,"toca algo desafiador"
mood,"encontra-me algo divertido"
mood,"quero algo competitivo"
mood,"toca algo cooperativo"
mood,"encontra-me algo estratégico"
mood,"quero uma aventura"
mood,"toca algo assustador"
mood,"encontra-me algo engraçado"
mood,"quero algo baseado em história"
mode,"toca um jogo para um jogador"
mode,"quero modo multijogador"
mode,"encontra um jogo cooperativo"
mode,"toca algo competitivo"
mode,"quero jogos online"
mode,"encontra multijogador local"
difficulty,"quero algo fácil"
difficulty,"toca algo difícil"
difficulty,"encontra um jogo desafiador"
difficulty,"quero um jogo casual"
difficulty,"toca algo para jogadores hardcore"
length,"quero um jogo rápido"
length,"encontra um jogo longo para explorar"
length,"preciso de uma sessão curta"
length,"toca algo para umas horas"
duration,"tenho 30 minutos"
duration,"tenho uma hora"
duration,"tenho a noite toda"
duration,"encontra um jogo que possa jogar de uma vez"
exploration,"encontra jogos independentes"
exploration,"mostra-me joias escondidas"
exploration,"recomenda-me um jogo"
exploration,"que jogo deveria jogar"
exploration,"surpreende-me com um jogo"
exploration,"sugere-me algo novo"
exploration,"o que está em tendência em jogos"
exploration,"encontra jogos como {{title}}"
rating,"mostra-me jogos melhor classificados"
rating,"quero um jogo aclamado pela crítica"
rating,"encontra jogos muito bem classificados"
rating,"toca um jogo com ótimas críticas"
franchise,"encontra jogos {{title}}"
franchise,"toca algo da série {{title}}"
franchise,"que jogo {{title}} deveria jogar"
franchise,"coloca {{title}} na fila"
retro,"toca um jogo clássico"
retro,"quero um jogo antigo"
retro,"encontra um jogo antigo"
retro,"mostra-me jogos de {{year}}"
retro,"quero um jogo de arcade"
recent,"toca um novo lançamento"
recent,"encontra um jogo recente"
recent,"o que há de novo em jogos"
recent,"mostra-me jogos de {{year}}"
recent,"coloca o último lançamento na fila"
provider,"encontra um jogo em {{provider}}"
provider,"faz stream de {{provider}}"
provider,"mostra-me jogos {{provider}}"
provider,"toca algo de {{provider}}"
generic,"toca um jogo"
generic,"quero jogar um videojogo"
generic,"inicia um jogo"
generic,"estou aborrecido, toca um jogo"
generic,"encontra-me um jogo"
generic,"mostra-me um jogo"
generic,"que jogo deveria jogar"
generic,"surpreende-me com um jogo"
generic,"toca algo bom"
generic,"coloca um jogo na fila"
