category,template
title,"toca {title}"
title,"vê {title}"
title,"quero ver {title}"
title,"coloca {title}"
title,"podes tocar {title}"
title,"encontra {title} para mim"
title,"faz stream de {title}"
title,"mostra-me {title}"
title,"coloca {title} na fila"
actor,"toca um filme com {actor}"
actor,"toca um filme com {actor}"
actor,"quero ver um filme com {actor}"
actor,"encontra um filme com {actor}"
actor,"mostra-me um filme com {actor}"
actor,"gostaria de ver um filme com {actor}"
actor,"coloca um filme com {actor}"
actor,"faz stream de um filme com {actor}"
actor,"vê um filme com {actor}"
actor,"encontra-me algo com {actor}"
actor,"quero ver {actor} num filme"
actor,"podes tocar um filme de {actor}"
actor,"coloca um filme com {actor} na fila"
director,"toca um filme de {director}"
director,"quero ver um filme de {director}"
director,"mostra-me um filme de {director}"
director,"encontra um filme de {director}"
director,"gostaria de ver algo de {director}"
director,"toca o último filme de {director}"
director,"faz stream de um filme de {director}"
director,"toca um filme de {director}"
director,"quero ver algo de {director}"
director,"encontra-me um filme de {director}"
director,"podes tocar um filme de {director}"
director,"coloca um filme de {director} na fila"
director,"estou com disposição para {director}"
director_actor,"toca um filme de {director} com {actor}"
director_actor,"quero ver um filme de {{director}} com {actor}"
director_actor,"encontra-me um filme de {{director}} com {actor}"
director_actor,"coloca um filme de {{director}} com {actor}"
genre,"toca um filme {{genre}}"
genre,"quero ver {{genre}}"
genre,"encontra-me algo {{genre}}"
genre,"mostra-me um filme {{genre}}"
genre,"estou com disposição para {{genre}}"
genre,"toca um {{genre}}"
genre,"quero {{genre}} entretenimento"
genre,"faz stream de um filme {{genre}}"
genre,"coloca um filme {{genre}} na fila"
genre,"coloca algo {{genre}}"
year,"toca um filme de {year}"
year,"quero ver um filme de {{year}}"
year,"encontra-me um filme de {{year}}"
year,"mostra-me cinema {{year}}"
year,"quero um clássico de {{year}}"
year,"coloca um filme de {{year}}"
era,"toca um filme clássico"
era,"quero ver algo da era de ouro"
era,"encontra-me um filme moderno"
era,"mostra-me cinema contemporâneo"
era,"quero um filme antigo"
era,"toca um lançamento recente"
era,"encontra-me uma joia cinema"
mood,"encontra-me algo para ver com a família"
mood,"quero um filme para ver com amigos"
mood,"toca algo engraçado"
mood,"preciso de algo assustador"
mood,"quero um filme romântico"
mood,"toca um filme de ação"
mood,"quero algo que me faça pensar"
mood,"encontra-me uma aventura"
mood,"quero algo leve"
mood,"toca um filme para descontrair"
provider,"encontra um filme em {provider}"
provider,"faz stream de um filme em {provider}"
provider,"mostra-me o que há de novo em {provider}"
provider,"toca um filme de {provider}"
studio,"encontra um filme de {studio}"
studio,"quero ver algo de {studio}"
studio,"mostra-me uma produção {{studio}}"
discovery,"recomenda-me um filme"
discovery,"sugere-me algo para ver"
discovery,"encontra filmes parecidos a {title}"
discovery,"o que é parecido a {title}"
discovery,"recomenda-me filmes como {{title}}"
discovery,"mostra-me novos lançamentos"
discovery,"o que deveria ver a seguir"
discovery,"surpreende-me com um filme"
runtime,"toca um filme curto"
runtime,"quero algo rápido para ver"
runtime,"encontra-me um filme de comprimento completo"
runtime,"preciso de um filme longo para esta noite"
generic,"toca um filme"
generic,"vê um filme"
generic,"quero ver um filme"
generic,"encontra-me algo para ver"
generic,"toca um bom filme"
generic,"coloca um filme"
generic,"coloca um filme na fila"
generic,"estou aborrecido, toca um filme"
generic,"encontra-me um filme"
generic,"mostra-me um filme"
generic,"quero ver um filme"
generic,"faz stream de um filme"
generic,"que filme deveria ver"
generic,"toca algo bom"
