category,template
artist,"toca {artist}"
artist,"toca um pouco de {artist}"
artist,"quero ouvir {artist}"
artist,"podes tocar {artist}"
artist,"coloca um pouco de {artist}"
artist,"gostaria de ouvir {artist}"
artist,"faz stream de {artist}"
artist,"toca música de {artist}"
artist,"toca uma canção de {artist}"
artist,"toca algo de {artist}"
artist,"tenho vontade de ouvir {artist}"
artist,"estou com disposição para {artist}"
artist,"encontra-me um pouco de {artist}"
artist,"toca a música de {artist}"
artist,"quero ouvir {artist}"
artist,"coloca {artist} na fila"
artist,"coloca {artist} a tocar"
artist,"dá-me um pouco de {artist}"
artist,"quero descobrir {artist}"
artist,"mostra-me como soa {artist}"
track,"toca {track}"
track,"toca a canção {track}"
track,"quero ouvir {track}"
track,"encontra {track} para mim"
track,"quero ouvir {track}"
track,"podes tocar {track}"
track,"coloca {track}"
track,"toca a faixa {track}"
track,"faz stream de {track}"
track,"estou à procura de {track}"
track,"encontra-me {track}"
track_artist,"toca {track} de {artist}"
track_artist,"quero ouvir {track} de {artist}"
track_artist,"toca {track} de {artist}"
track_artist,"encontra-me {track} de {artist}"
track_artist,"coloca {track} de {artist}"
track_artist,"coloca {track} de {artist} na fila"
track_artist,"faz stream de {track} de {artist}"
track_artist,"toca {track} de {artist}"
track_artist,"quero {track} de {artist}"
genre,"toca um pouco de música {genre}"
genre,"quero ouvir um pouco de {genre}"
genre,"coloca um pouco de {genre}"
genre,"estou com disposição para {genre}"
genre,"toca uma playlist {genre}"
genre,"encontra-me um pouco de música {genre}"
genre,"toca {genre} para mim"
genre,"gostaria de um pouco de {genre}"
genre,"toca {genre}"
genre,"faz stream de um pouco de {genre}"
genre,"coloca música {genre}"
genre,"tenho vontade de {genre} neste momento"
genre,"dá-me umas vibrações {genre}"
genre,"mostra-me um pouco de {genre}"
genre,"coloca um pouco de {genre} na fila"
album,"toca o álbum {album}"
album,"quero ouvir {album}"
album,"coloca {album}"
album,"toca {album} de {artist}"
album,"faz stream do álbum {album}"
album,"coloca {album} na fila"
album,"toca o álbum completo {album}"
album,"quero ouvir {album}"
album,"encontra-me {album}"
album,"toca {album} de {artist}"
album,"quero ouvir o álbum {album}"
album,"faz stream de {album}"
featuring,"toca {track} com {artist}"
featuring,"faz stream de {track} com {artist}"
featuring,"toca-me {track} com {artist}"
featuring,"quero ouvir {track} com {artist}"
featuring,"coloca {track} com {artist}"
mood,"toca algo relaxante"
mood,"preciso de uma música calma"
mood,"toca algo animado"
mood,"quero música para trabalhar"
mood,"toca algo para estudar"
mood,"preciso de música para o ginásio"
mood,"toca algo romântico"
mood,"dá-me música feliz"
mood,"quero música melancólica"
mood,"toca algo energético"
playlist,"toca a minha playlist {playlist_name}"
playlist,"coloca a minha {playlist_name} na fila"
playlist,"quero ouvir a minha {playlist_name}"
playlist,"coloca a minha playlist {playlist_name}"
playlist,"faz stream da minha {playlist_name}"
discovery,"descobre novo {genre}"
discovery,"encontra música nova em {genre}"
discovery,"mostra-me canções novas de {artist}"
discovery,"o que há de novo de {artist}"
discovery,"recomenda-me música {genre}"
discovery,"dá-me recomendações de música nova"
discovery,"toca novos lançamentos em {genre}"
generic,"toca um pouco de música"
generic,"toca música"
generic,"quero ouvir música"
generic,"encontra-me algo para ouvir"
generic,"toca algo"
generic,"coloca algo na fila"
generic,"quero ouvir algo"
generic,"coloca um pouco de música"
generic,"faz stream de um pouco de música"
generic,"toca qualquer coisa"
generic,"estou aborrecido, toca música"
generic,"toca música aleatória"
