category,template
show,"toca o podcast {show}"
show,"quero ouvir {show}"
show,"toca um episódio de {show}"
show,"encontra o podcast {show}"
show,"coloca {show}"
show,"faz stream de {show}"
show,"quero ouvir {show}"
show,"continua a ouvir {show}"
show,"coloca {show} na fila"
show,"mostra-me {show}"
show,"podes tocar {show}"
show,"gostaria de ouvir {{show}}"
show,"retoma {show}"
show,"o que há de novo em {{show}}"
show,"toca o último {{show}}"
show,"encontra-me um episódio de {{show}}"
show,"coloca {{show}}"
topic,"toca um podcast sobre {topic}"
topic,"encontra-me um podcast sobre {topic}"
topic,"quero ouvir um podcast sobre {topic}"
topic,"coloca um podcast {topic}"
topic,"gostaria de um podcast sobre {topic}"
topic,"faz stream de um podcast sobre {topic}"
topic,"encontra um podcast sobre {topic}"
topic,"toca algo sobre {topic}"
topic,"quero ouvir um podcast sobre {topic}"
topic,"encontra-me um podcast {topic}"
topic,"coloca um podcast {{topic}} na fila"
topic,"podes tocar um podcast {{topic}}"
topic,"mostra-me um podcast sobre {{topic}}"
topic,"tenho interesse num podcast {{topic}}"
topic,"recomenda-me um podcast {{topic}}"
episode,"toca o último episódio de {show}"
episode,"encontra um episódio novo de {show}"
episode,"coloca o episódio mais recente {{show}}"
episode,"continua com o próximo episódio {{show}}"
episode,"faz stream do último {{show}}"
episode,"coloca o episódio novo {{show}} na fila"
episode,"qual é o episódio mais novo {{show}}"
episode,"toca o mais recente {{show}}"
series,"quero começar uma nova série de podcast"
series,"encontra-me uma série de podcast"
series,"que série de podcast deveria ouvir"
series,"mostra-me séries de podcast sobre {{topic}}"
series,"coloca uma série nova na fila"
series,"começa uma série de podcast comigo"
discovery,"recomenda-me um podcast"
discovery,"sugere-me algo para ouvir"
discovery,"encontra podcasts sobre {{topic}}"
discovery,"o que está em tendência em podcasts"
discovery,"mostra-me novos podcasts"
discovery,"encontra podcasts joias escondidas"
discovery,"que podcast deveria experimentar"
discovery,"surpreende-me com um podcast"
discovery,"encontra programas como {{show}}"
discovery,"o que é parecido a {{show}}"
length,"quero um episódio de podcast curto"
length,"encontra-me um podcast longo"
length,"preciso de uma escuta rápida"
length,"toca algo que possa ouvir durante o trajeto"
frequency,"encontra-me um podcast semanal"
frequency,"quero um podcast diário"
frequency,"coloca algo que seja atualizado regularmente"
genre,"toca um podcast {{genre}}"
genre,"quero ouvir um programa {{genre}}"
genre,"encontra-me conteúdo {{genre}}"
genre,"coloca algo {{genre}}"
genre,"faz stream de um podcast {{genre}}"
genre,"coloca um programa {{genre}} na fila"
genre,"estou com disposição para podcasts {{genre}}"
mood,"quero algo educacional"
mood,"toca algo engraçado"
mood,"preciso de algo relaxante"
mood,"encontra-me algo inspirador"
mood,"quero casos de crime real"
mood,"toca algo reflexivo"
mood,"encontra-me conteúdo entretecido"
host,"encontra podcasts de {host}"
host,"quero ouvir {{host}}"
host,"coloca um programa de {{host}}"
host,"toca algo apresentado por {{host}}"
host,"faz stream do podcast {{host}}"
provider,"encontra um podcast em {provider}"
provider,"faz stream de {{provider}}"
provider,"mostra-me o que está em {{provider}}"
provider,"toca algo de {{provider}}"
generic,"toca um podcast"
generic,"toca podcasts"
generic,"quero ouvir um podcast"
generic,"encontra-me algo para ouvir"
generic,"toca algo"
generic,"coloca algo na fila"
generic,"quero ouvir algo"
generic,"coloca um podcast"
generic,"faz stream de um podcast"
generic,"toca qualquer coisa"
generic,"estou aborrecido, toca um podcast"
generic,"toca podcasts aleatórios"
generic,"que podcast deveria ouvir"
