category,template
show,"toca {show}"
show,"coloca {show}"
show,"quero ver {show}"
show,"encontra {show} para mim"
show,"toca um episódio de {show}"
show,"faz stream de {show}"
show,"quero ver um episódio de {show}"
show,"toca a temporada 1 de {show}"
show,"continua {show}"
show,"podes tocar {show}"
show,"mostra-me {show}"
show,"gostaria de ver {show}"
show,"vê {show}"
show,"quero ver {show}"
show,"toca o próximo episódio de {show}"
show,"coloca {show} na fila"
show,"coloca {show}"
show,"retoma {show}"
show,"o que vem a seguir em {show}"
episode,"toca o próximo episódio de {show}"
episode,"continua {{show}} a partir de onde parei"
episode,"toca um episódio novo de {show}"
episode,"coloca um episódio {{show}}"
episode,"encontra o último episódio {{show}}"
episode,"coloca o próximo {{show}} na fila"
episode,"quero ver o próximo episódio {{show}}"
episode,"faz stream de novo {{show}}"
episode,"toca o episódio mais recente {{show}}"
episode,"qual é o episódio mais novo {{show}}"
season,"toca a temporada {season} de {show}"
season,"quero ver a temporada {{season}} de {show}"
season,"faz stream da temporada {{season}} de {show}"
season,"começa na temporada {{season}} de {show}"
season,"coloca a temporada {{season}} de {show}"
season,"mostra-me a temporada {{season}} de {show}"
season,"encontra a temporada {{season}} de {show}"
genre,"toca um programa {{genre}}"
genre,"quero ver uma série {{genre}}"
genre,"encontra-me um programa de TV {{genre}}"
genre,"coloca algo {{genre}}"
genre,"mostra-me um programa {{genre}}"
genre,"estou com disposição para {{genre}}"
genre,"faz stream de uma série {{genre}}"
genre,"coloca um programa {{genre}} na fila"
provider,"encontra um programa em {provider}"
provider,"faz stream de uma série em {provider}"
provider,"mostra-me o que está em {provider}"
provider,"toca algo de {provider}"
provider,"encontra programas disponíveis em {provider}"
network,"mostra-me programas {{network}}"
network,"quero ver algo de {{network}}"
network,"encontra-me uma produção {{network}}"
network,"toca uma série {{network}}"
era,"toca um programa clássico"
era,"quero ver algo recente"
era,"encontra-me uma série nova"
era,"mostra-me um programa antigo"
era,"quero algo dos anos 90"
era,"toca um lançamento novo"
era,"encontra-me uma série em andamento"
status,"continua a minha lista de espera"
status,"retoma a partir de onde parei"
status,"mostra-me o que estou a ver"
status,"que série estou a acompanhar"
status,"encontra novos lançamentos"
status,"mostra-me episódios próximos"
discovery,"recomenda-me um programa"
discovery,"sugere-me algo para ver"
discovery,"encontra programas como {show}"
discovery,"o que é parecido a {{show}}"
discovery,"recomenda-me séries como {show}"
discovery,"mostra-me programas em tendência"
discovery,"o que deveria fazer bingewatching a seguir"
discovery,"surpreende-me com uma série"
discovery,"o que é popular neste momento"
discovery,"encontra joias escondidas de TV"
length,"quero algo curto para ver"
length,"toca um programa rápido"
length,"encontra uma série longa para fazer bingewatching"
length,"preciso de uma minissérie"
length,"mostra-me programas de uma única temporada"
generic,"toca um programa"
generic,"vê uma série"
generic,"quero ver um programa"
generic,"encontra-me algo para ver"
generic,"coloca algo"
generic,"coloca um programa na fila"
generic,"estou aborrecido, toca um programa"
generic,"encontra-me uma série"
generic,"mostra-me um programa"
generic,"quero ver o que está em andamento"
generic,"faz stream de algo"
generic,"o que deveria ver"
generic,"toca algo bom"
generic,"quero fazer bingewatching de algo"
