category,template
anime_title,find a documentary about {anime_title}
anime_title,is there a making-of documentary for {anime_title}
anime_title,play a documentary about how {anime_title} was made
artist_name,I want to watch a documentary on {artist_name}
artist_name,I'd like to learn more about {artist_name} — play a documentary
artist_name,find a doc about {artist_name}
artist_name,find a music documentary about {artist_name}
artist_name,is there a documentary about {artist_name}
artist_name,play a biography documentary about {artist_name}
artist_name,play a documentary about {artist_name}
artist_name,play the behind the music documentary for {artist_name}
artist_name,play the {artist_name} documentary
artist_name,show me a doc about {artist_name}
documentary_title,I feel like watching {documentary_title}
documentary_title,I want to learn about {documentary_title}
documentary_title,I want to watch {documentary_title}
documentary_title,I was watching {documentary_title} — continue please
documentary_title,I'd like to watch {documentary_title}
documentary_title,I've been meaning to watch {documentary_title}
documentary_title,can I watch {documentary_title}
documentary_title,can you play {documentary_title}
documentary_title,continue {documentary_title}
documentary_title,do you have {documentary_title}
documentary_title,find me the documentary called {documentary_title}
documentary_title,find the documentary called {documentary_title}
documentary_title,find {documentary_title}
documentary_title,go back to {documentary_title}
documentary_title,is {documentary_title} available
documentary_title,let's watch {documentary_title}
documentary_title,load the documentary {documentary_title}
documentary_title,load up {documentary_title}
documentary_title,open {documentary_title}
documentary_title,pick up {documentary_title} where I left off
documentary_title,play episode 1 of {documentary_title}
documentary_title,play episode 2 of {documentary_title}
documentary_title,play part 1 of {documentary_title}
documentary_title,play part 2 of {documentary_title}
documentary_title,play the doc {documentary_title}
documentary_title,play the docudrama {documentary_title}
documentary_title,play the documentary {documentary_title}
documentary_title,play the docuseries {documentary_title}
documentary_title,play the feature documentary {documentary_title}
documentary_title,play the film {documentary_title}
documentary_title,play the full documentary {documentary_title}
documentary_title,play the history documentary {documentary_title}
documentary_title,play the nature documentary {documentary_title}
documentary_title,play the next episode of {documentary_title}
documentary_title,play the next part of {documentary_title}
documentary_title,play the science documentary {documentary_title}
documentary_title,play the series {documentary_title}
documentary_title,play the short documentary {documentary_title}
documentary_title,play the true crime documentary {documentary_title}
documentary_title,play {documentary_title}
documentary_title,put on the documentary {documentary_title}
documentary_title,put on {documentary_title}
documentary_title,put on {documentary_title} for me
documentary_title,queue up {documentary_title}
documentary_title,resume {documentary_title}
documentary_title,show me the documentary {documentary_title}
documentary_title,show me {documentary_title}
documentary_title,start {documentary_title}
documentary_title,stream the documentary {documentary_title}
documentary_title,stream {documentary_title}
documentary_title,watch {documentary_title}
game_title,find a doc about the making of {game_title}
