category,template
audiobook_title+movie_actor,find the full cast radio drama of {audiobook_title} with {movie_actor}
audiobook_title,I want to hear {audiobook_title} as a radio drama
audiobook_title,find the BBC radio drama of {audiobook_title}
audiobook_title,find the audio drama based on {audiobook_title}
audiobook_title,find the audio play based on {audiobook_title}
audiobook_title,find the radio serialization of {audiobook_title}
audiobook_title,is there a radio adaptation of {audiobook_title}
audiobook_title,is {audiobook_title} available as a radio drama
audiobook_title,play the full cast radio adaptation of {audiobook_title}
audiobook_title,play the radio drama version of {audiobook_title}
audiobook_title,play the radio play of {audiobook_title}
audiobook_title,play the serialized radio adaptation of {audiobook_title}
audiobook_title,stream the radio theatre production of {audiobook_title}
movie_actor,find a radio play with {movie_actor}
movie_actor,find an audio drama featuring {movie_actor}
movie_actor,is there a radio drama with {movie_actor}
movie_actor,play the BBC radio drama starring {movie_actor}
movie_actor,play the radio drama featuring {movie_actor}
movie_director,find a radio drama directed by {movie_director}
movie_director,find an audio drama from {movie_director}
movie_director,play a radio play by {movie_director}
movie_title+movie_actor,play the radio drama of {movie_title} with {movie_actor}
movie_title+movie_director,find the radio adaptation of {movie_title} by {movie_director}
movie_title,I want to hear {movie_title} as a radio drama
movie_title,find me a radio drama like {movie_title}
movie_title,find the BBC radio version of {movie_title}
movie_title,find the audio drama based on {movie_title}
movie_title,find the radio drama version of {movie_title}
movie_title,is there a radio play of {movie_title}
movie_title,is {movie_title} available as an audio drama
movie_title,play the audio adaptation of the film {movie_title}
movie_title,play the radio adaptation of {movie_title}
movie_title,play the radio play based on {movie_title}
movie_title,play the radio theatre version of {movie_title}
movie_title,stream the audio drama adaptation of {movie_title}
radio_drama_title+movie_actor,play {radio_drama_title} starring {movie_actor}
radio_drama_title,I feel like listening to {radio_drama_title}
radio_drama_title,I remember {radio_drama_title} — play it
radio_drama_title,I want to get into {radio_drama_title}
radio_drama_title,I want to hear the audio play {radio_drama_title}
radio_drama_title,I want to listen to {radio_drama_title}
radio_drama_title,I was in the middle of {radio_drama_title} — continue
radio_drama_title,I'd like to hear {radio_drama_title}
radio_drama_title,I'd like to revisit {radio_drama_title}
radio_drama_title,I'd like {radio_drama_title} on quietly
radio_drama_title,I'd love to listen to {radio_drama_title}
radio_drama_title,I've been meaning to listen to {radio_drama_title}
radio_drama_title,binge {radio_drama_title}
radio_drama_title,can you find {radio_drama_title}
radio_drama_title,catch me up on {radio_drama_title}
radio_drama_title,continue {radio_drama_title}
radio_drama_title,do you have {radio_drama_title}
radio_drama_title,find me the radio drama {radio_drama_title}
radio_drama_title,find the audio drama {radio_drama_title}
radio_drama_title,find the audio play titled {radio_drama_title}
radio_drama_title,find the audio recording of {radio_drama_title}
radio_drama_title,find the golden age radio show {radio_drama_title}
radio_drama_title,find the next series of {radio_drama_title}
radio_drama_title,find the radio serial {radio_drama_title}
radio_drama_title,find {radio_drama_title}
radio_drama_title,finish {radio_drama_title} for me
radio_drama_title,is {radio_drama_title} available
radio_drama_title,let's listen to {radio_drama_title}
radio_drama_title,load {radio_drama_title}
radio_drama_title,open {radio_drama_title}
radio_drama_title,pick up {radio_drama_title} where I left off
radio_drama_title,play a random episode of {radio_drama_title}
radio_drama_title,play an episode of {radio_drama_title}
radio_drama_title,play episode one of {radio_drama_title}
radio_drama_title,play season 2 of {radio_drama_title}
radio_drama_title,play the 1940s radio drama {radio_drama_title}
radio_drama_title,play the Audible drama {radio_drama_title}
radio_drama_title,play the BBC Radio 4 drama {radio_drama_title}
