category,template
anime_title,I want a sneak peek of {anime_title}
anime_title,I want to see the {anime_title} trailer
anime_title,I want to watch the {anime_title} preview
anime_title,find me the {anime_title} preview
anime_title,find the teaser for {anime_title}
anime_title,find the trailer for {anime_title}
anime_title,find the {anime_title} PV trailer
anime_title,find the {anime_title} season trailer
anime_title,is there a trailer for {anime_title}
anime_title,play the new season trailer for {anime_title}
anime_title,play the official trailer for {anime_title}
anime_title,play the season two trailer for {anime_title}
anime_title,play the trailer for {anime_title}
anime_title,play the {anime_title} PV
anime_title,play the {anime_title} anime trailer
anime_title,play the {anime_title} teaser
anime_title,pull up the {anime_title} trailer
anime_title,show me a preview of {anime_title}
anime_title,show me a sneak peek of {anime_title}
anime_title,show me the season 2 trailer for {anime_title}
anime_title,show me the {anime_title} promotional video
anime_title,show me the {anime_title} teaser
anime_title,show me the {anime_title} trailer
anime_title,show the {anime_title} teaser trailer
anime_title,stream the {anime_title} trailer
movie_title+movie_actor,I want to see the trailer for {movie_title} starring {movie_actor}
movie_title+movie_actor,find the {movie_title} trailer featuring {movie_actor}
movie_title+movie_actor,play the trailer for {movie_title} starring {movie_actor}
movie_title+movie_actor,play the {movie_title} trailer with {movie_actor} in it
movie_title+movie_actor,show me the trailer for {movie_title} with {movie_actor}
movie_title+movie_actor,stream the trailer for {movie_title} featuring {movie_actor}
movie_title+movie_director,I want to see the {movie_director} directed {movie_title} trailer
movie_title+movie_director,find the trailer for {movie_title} directed by {movie_director}
movie_title+movie_director,play the trailer for {movie_director}'s {movie_title}
movie_title+movie_director,play the {movie_director} {movie_title} trailer
movie_title+movie_director,show me the trailer for {movie_director}'s {movie_title}
movie_title+movie_director,show me the {movie_director} film {movie_title} trailer
movie_title,I haven't seen {movie_title} yet, show me the trailer first
movie_title,I want a preview of {movie_title}
movie_title,I want to see the trailer for {movie_title}
movie_title,I want to see the {movie_title} reveal
movie_title,I want to watch a preview of {movie_title}
movie_title,I want to watch the {movie_title} teaser
movie_title,I'd like to see the trailer for {movie_title}
movie_title,I'd like to watch the {movie_title} trailer
movie_title,I'd love to see the trailer for {movie_title}
movie_title,I'm curious about {movie_title}, show me the trailer
movie_title,before I watch {movie_title}, play the trailer
movie_title,bring up the trailer for {movie_title}
movie_title,can you find the trailer for {movie_title}
movie_title,can you play the {movie_title} trailer
movie_title,could I see the trailer for {movie_title}
movie_title,could you show me the trailer for {movie_title}
movie_title,do you have the trailer for {movie_title}
movie_title,find a sneak peek of {movie_title}
movie_title,find me a preview of {movie_title}
movie_title,find me the {movie_title} teaser trailer
movie_title,find the preview for {movie_title}
movie_title,find the red-band trailer for {movie_title}
movie_title,find the teaser for {movie_title}
movie_title,find the third trailer for {movie_title}
movie_title,find the trailer for {movie_title}
movie_title,find the {movie_title} Comic-Con trailer
movie_title,find the {movie_title} Super Bowl commercial
movie_title,find the {movie_title} long trailer
movie_title,find the {movie_title} teaser announcement
movie_title,get me the latest trailer for {movie_title}
movie_title,get me the {movie_title} preview
movie_title,give me a taste of {movie_title}
movie_title,got any {movie_title} trailers
movie_title,is there a trailer for {movie_title}
movie_title,let me see the {movie_title} trailer
movie_title,let me watch the trailer for {movie_title}
movie_title,load the trailer for {movie_title}
movie_title,look up the trailer for {movie_title}
movie_title,might I see the trailer for {movie_title}
movie_title,open the {movie_title} trailer
movie_title,play a preview of {movie_title}
movie_title,play all {movie_title} trailers
movie_title,play the extended cut trailer for {movie_title}
movie_title,play the extended trailer for {movie_title}
movie_title,play the final trailer for {movie_title}
movie_title,play the first teaser for {movie_title}
movie_title,play the green-band trailer for {movie_title}
movie_title,play the international trailer for {movie_title}
movie_title,play the most recent {movie_title} trailer
movie_title,play the newest trailer for {movie_title}
movie_title,play the official trailer for {movie_title}
movie_title,play the promotional trailer for {movie_title}
movie_title,play the red-band trailer for {movie_title}
movie_title,play the second trailer for {movie_title}
movie_title,play the short teaser for {movie_title}
movie_title,play the teaser for {movie_title}
movie_title,play the trailer for {movie_title}
movie_title,play the trailer two for {movie_title}
movie_title,play the {movie_title} Comic-Con reveal
movie_title,play the {movie_title} Super Bowl spot
movie_title,play the {movie_title} cinematic trailer
movie_title,play the {movie_title} clip
movie_title,play the {movie_title} exclusive clip
movie_title,play the {movie_title} international teaser
movie_title,play the {movie_title} promo
movie_title,play the {movie_title} red-band teaser
movie_title,play the {movie_title} reveal trailer
movie_title,play the {movie_title} teaser
movie_title,play the {movie_title} theatrical trailer
movie_title,play the {movie_title} trailer
movie_title,pull up the {movie_title} trailer
movie_title,put on the {movie_title} trailer
movie_title,queue up the {movie_title} trailer
movie_title,search for the {movie_title} trailer
movie_title,show me a preview of {movie_title}
movie_title,show me a sneak peek at {movie_title}
movie_title,show me a sneak peek of {movie_title}
movie_title,show me both trailers for {movie_title}
movie_title,show me the final {movie_title} trailer
movie_title,show me the first teaser trailer for {movie_title}
movie_title,show me the full-length trailer for {movie_title}
movie_title,show me the latest {movie_title} trailer
movie_title,show me the official {movie_title} trailer
movie_title,show me the red-band {movie_title} trailer
movie_title,show me the trailer for {movie_title}
movie_title,show me the {movie_title} Comic-Con teaser
movie_title,show me the {movie_title} Super Bowl spot
movie_title,show me the {movie_title} announcement trailer
movie_title,show me the {movie_title} exclusive preview
movie_title,show me the {movie_title} film preview
movie_title,show me the {movie_title} promo video
movie_title,show me the {movie_title} teaser
movie_title,show me the {movie_title} trailer
movie_title,show me trailer number two for {movie_title}
movie_title,show me what {movie_title} is about
movie_title,show the international trailer for {movie_title}
movie_title,show the teaser for {movie_title}
movie_title,show the theatrical trailer for {movie_title}
movie_title,start the trailer for {movie_title}
movie_title,stream the official trailer for {movie_title}
movie_title,stream the {movie_title} trailer
movie_title,what does the trailer for {movie_title} look like
movie_title,what's the trailer for {movie_title} like
tv_show_title,I want a sneak peek of {tv_show_title}
tv_show_title,I want to see the {tv_show_title} season trailer
tv_show_title,I want to see the {tv_show_title} teaser
tv_show_title,bring up the {tv_show_title} trailer
tv_show_title,find the series trailer for {tv_show_title}
tv_show_title,find the trailer for {tv_show_title}
tv_show_title,find the {tv_show_title} Comic-Con panel trailer
tv_show_title,find the {tv_show_title} season teaser
tv_show_title,is there a trailer for {tv_show_title}
tv_show_title,load the {tv_show_title} trailer
tv_show_title,play a preview of {tv_show_title}
tv_show_title,play a sneak peek for {tv_show_title}
tv_show_title,play the new season trailer for {tv_show_title}
tv_show_title,play the official trailer for {tv_show_title}
tv_show_title,play the official {tv_show_title} teaser
tv_show_title,play the trailer for {tv_show_title}
tv_show_title,play the {tv_show_title} first look
tv_show_title,play the {tv_show_title} season premiere trailer
tv_show_title,play the {tv_show_title} series trailer
tv_show_title,play the {tv_show_title} teaser
tv_show_title,play the {tv_show_title} trailer
tv_show_title,pull up the {tv_show_title} trailer
tv_show_title,queue up the trailer for {tv_show_title}
tv_show_title,show me a first look at {tv_show_title}
tv_show_title,show me a sneak peek of {tv_show_title}
tv_show_title,show me the new season trailer for {tv_show_title}
tv_show_title,show me the premiere trailer for {tv_show_title}
tv_show_title,show me the season two trailer for {tv_show_title}
tv_show_title,show me the teaser for {tv_show_title}
tv_show_title,show me the trailer for {tv_show_title}
tv_show_title,show the new {tv_show_title} trailer
tv_show_title,show the {tv_show_title} teaser
tv_show_title,stream the {tv_show_title} trailer
trailer_title+movie_title,find trailer {trailer_title} for {movie_title}
trailer_title+movie_title,play {trailer_title} for {movie_title}
trailer_title+tv_show_title,find trailer {trailer_title} for {tv_show_title}
trailer_title+tv_show_title,play {trailer_title} for {tv_show_title}
trailer_title+anime_title,find trailer {trailer_title} for {anime_title}
trailer_title+anime_title,play {trailer_title} for {anime_title}
trailer_title+game_title,find trailer {trailer_title} for {game_title}
trailer_title+game_title,play {trailer_title} for {game_title}
trailer_title,find trailer number one for {trailer_title}
trailer_title,play the first trailer for {trailer_title}
trailer_title,stream trailer {trailer_title}
