category,template
tv_channel+tv_streaming_service,can I watch {tv_channel} on {tv_streaming_service}
tv_channel+tv_streaming_service,connect to {tv_channel} on {tv_streaming_service}
tv_channel+tv_streaming_service,find {tv_channel} on {tv_streaming_service}
tv_channel+tv_streaming_service,find {tv_channel} via {tv_streaming_service}
tv_channel+tv_streaming_service,get {tv_channel} on {tv_streaming_service}
tv_channel+tv_streaming_service,is {tv_channel} on {tv_streaming_service}
tv_channel+tv_streaming_service,open {tv_streaming_service} and go to {tv_channel}
tv_channel+tv_streaming_service,open {tv_streaming_service} and switch to {tv_channel}
tv_channel+tv_streaming_service,play {tv_channel} through {tv_streaming_service}
tv_channel+tv_streaming_service,play {tv_channel} using {tv_streaming_service}
tv_channel+tv_streaming_service,stream {tv_channel} from {tv_streaming_service}
tv_channel+tv_streaming_service,stream {tv_channel} via {tv_streaming_service}
tv_channel+tv_streaming_service,tune to {tv_channel} through {tv_streaming_service}
tv_channel+tv_streaming_service,use {tv_streaming_service} to watch {tv_channel}
tv_channel+tv_streaming_service,watch {tv_channel} on {tv_streaming_service}
tv_channel,I fancy watching {tv_channel}
tv_channel,I need {tv_channel}
tv_channel,I want live TV on {tv_channel}
tv_channel,I want the live stream from {tv_channel}
tv_channel,I want to catch {tv_channel} live
tv_channel,I want to see what's on {tv_channel}
tv_channel,I want to see {tv_channel} live
tv_channel,I want to watch {tv_channel}
tv_channel,I want {tv_channel} on the telly
tv_channel,I'd like to see what's on {tv_channel}
tv_channel,I'd like to tune in to {tv_channel}
tv_channel,I'd like to watch {tv_channel}
tv_channel,I'd like {tv_channel} on
tv_channel,access {tv_channel}
tv_channel,bring up {tv_channel}
tv_channel,broadcast {tv_channel}
tv_channel,can I get {tv_channel} please
tv_channel,can we watch {tv_channel}
tv_channel,can you broadcast {tv_channel}
tv_channel,can you find {tv_channel}
tv_channel,can you turn on {tv_channel}
tv_channel,change the channel to {tv_channel}
tv_channel,change to {tv_channel}
tv_channel,chuck on {tv_channel}
tv_channel,connect to {tv_channel}
tv_channel,could you put on {tv_channel}
tv_channel,could you stream {tv_channel}
tv_channel,could you switch to {tv_channel}
tv_channel,display {tv_channel}
tv_channel,do you have {tv_channel}
tv_channel,fetch {tv_channel} for me
tv_channel,find me {tv_channel}
tv_channel,find the live stream for {tv_channel}
tv_channel,find {tv_channel}
tv_channel,flip to {tv_channel}
tv_channel,get me {tv_channel}
tv_channel,get {tv_channel} going
tv_channel,get {tv_channel} on please
tv_channel,get {tv_channel} up on screen
tv_channel,go to {tv_channel}
tv_channel,how about {tv_channel}
tv_channel,is {tv_channel} available
tv_channel,jump to {tv_channel}
tv_channel,let me watch {tv_channel}
tv_channel,let's watch {tv_channel}
tv_channel,load up {tv_channel}
tv_channel,navigate to {tv_channel}
tv_channel,open {tv_channel} for me
tv_channel,play live from {tv_channel}
tv_channel,play me {tv_channel}
tv_channel,play the live feed from {tv_channel}
tv_channel,play {tv_channel}
tv_channel,play {tv_channel} live
tv_channel,pull up {tv_channel}
tv_channel,put on {tv_channel}
tv_channel,put on {tv_channel} please
tv_channel,put the telly on {tv_channel}
tv_channel,put {tv_channel} on in the background
tv_channel,put {tv_channel} on please
tv_channel,put {tv_channel} on the TV
tv_channel,search for {tv_channel}
tv_channel,show me the live feed for {tv_channel}
tv_channel,show me {tv_channel}
tv_channel,show the live stream from {tv_channel}
tv_channel,show {tv_channel} on the TV
tv_channel,start streaming {tv_channel}
tv_channel,start {tv_channel}
tv_channel,stick the telly on {tv_channel}
tv_channel,stick {tv_channel} on
tv_channel,stream live from {tv_channel}
tv_channel,stream {tv_channel}
tv_channel,stream {tv_channel} live
tv_channel,switch over to {tv_channel}
tv_channel,switch the channel to {tv_channel}
tv_channel,switch to {tv_channel}
tv_channel,tune in to {tv_channel}
tv_channel,tune into {tv_channel} please
tv_channel,tune to {tv_channel}
tv_channel,turn on {tv_channel}
tv_channel,watch {tv_channel} live
tv_channel,what's on {tv_channel} right now
tv_streaming_service,I want live TV via {tv_streaming_service}
tv_streaming_service,I want to watch {tv_streaming_service}
tv_streaming_service,I'd like to use {tv_streaming_service}
tv_streaming_service,access {tv_streaming_service}
tv_streaming_service,browse channels on {tv_streaming_service}
tv_streaming_service,browse live TV on {tv_streaming_service}
tv_streaming_service,can you open {tv_streaming_service}
tv_streaming_service,connect to {tv_streaming_service}
tv_streaming_service,find channels on {tv_streaming_service}
tv_streaming_service,find live channels on {tv_streaming_service}
tv_streaming_service,go to {tv_streaming_service}
tv_streaming_service,launch the {tv_streaming_service} app
tv_streaming_service,launch {tv_streaming_service}
tv_streaming_service,load {tv_streaming_service}
tv_streaming_service,navigate to {tv_streaming_service}
tv_streaming_service,open the {tv_streaming_service} app
tv_streaming_service,open up {tv_streaming_service}
tv_streaming_service,open {tv_streaming_service}
tv_streaming_service,open {tv_streaming_service} and find me something to watch
tv_streaming_service,play live TV from {tv_streaming_service}
tv_streaming_service,play live channels from {tv_streaming_service}
tv_streaming_service,play something on {tv_streaming_service}
tv_streaming_service,pull up {tv_streaming_service}
tv_streaming_service,put on {tv_streaming_service}
tv_streaming_service,show me what's on {tv_streaming_service}
tv_streaming_service,start {tv_streaming_service}
tv_streaming_service,stream from {tv_streaming_service}
tv_streaming_service,stream live TV on {tv_streaming_service}
tv_streaming_service,switch to {tv_streaming_service}
tv_streaming_service,use {tv_streaming_service} for live TV
